MarketingID,DateKey,CampaignID,RegionID,ProductID,Spend,Engagement_Rate,Reach,Impressions,Clicks,Conversions,CTR,Conversion_Rate,Sentiment_Score,Brand_Awareness,ROI,CPM,CPC,CPA,Campaign_Type,Cost_Per_Engagement,Engagement_Per_Impression,ROI_Category,Efficiency_Score
132,20240105,8019,3011,1007,8028.94,5.0,299726,819375,24745,465,3.02,1.88,83.1,0.69,919.38,9.8,0.32,17.27,Social Media,0.2,0.05,Very High,48.13
749,20240105,8044,3187,1187,2454.42,3.26,58777,217352,4173,47,1.92,1.14,91.04,0.63,121.82,11.29,0.59,52.22,Digital,0.35,0.0326,Medium,17.43
335,20240105,8050,3250,1129,6451.25,5.02,159466,603720,9901,205,1.64,2.08,90.89,2.31,322.8,10.69,0.65,31.47,Social Media,0.21,0.0502,High,28.88
726,20240105,8054,3228,1163,15547.09,2.93,331668,1376127,16513,373,1.2,2.26,67.27,2.45,99.46,11.3,0.94,41.68,Seasonal,0.39,0.0293,Low,16.14
570,20240105,8076,3127,1017,7463.37,4.82,1198897,2731306,88767,1091,3.25,1.23,73.01,1.95,1358.46,2.73,0.08,6.84,Digital,0.06,0.0482,,106.73
25,20240106,8007,3296,1079,15455.68,2.88,325997,1323414,18130,368,1.37,2.03,74.86,2.89,267.8,11.68,0.85,42.0,Brand Awareness,0.41,0.0288,High,17.82
680,20240106,8037,3248,1155,17548.24,3.92,609173,1597298,28272,344,1.77,1.22,67.15,2.26,188.37,10.99,0.62,51.01,Social Media,0.28,0.0392,Medium,13.16
10,20240106,8046,3259,1113,2246.93,3.94,60981,204223,1756,12,0.86,0.7,66.16,2.52,-0.33,11.0,1.28,187.24,Digital,0.28,0.0394,Negative,3.53
868,20240106,8059,3090,1160,3866.7,4.42,269824,822212,27297,163,3.32,0.6,71.76,1.06,165.94,4.7,0.14,23.72,Brand Awareness,0.11,0.0442,Medium,30.25
541,20240107,8011,3089,1118,8276.12,5.07,670438,1714545,21946,190,1.28,0.87,74.69,1.37,72.21,4.83,0.38,43.56,Digital,0.1,0.0507,Low,17.15
584,20240107,8018,3247,1021,16299.15,2.96,365518,1555537,19599,217,1.26,1.11,76.06,1.76,148.16,10.48,0.83,75.11,Product Launch,0.35,0.0296,Medium,10.13
973,20240107,8041,3230,1142,11541.48,3.69,315967,998246,22760,122,2.28,0.54,76.73,1.97,38.76,11.56,0.51,94.6,Product Launch,0.31,0.0369,Low,8.11
760,20240107,8050,3300,1001,23594.7,2.41,563862,2333891,60214,421,2.58,0.7,83.78,2.48,30.53,10.11,0.39,56.04,Brand Awareness,0.42,0.0241,Low,14.95
729,20240108,8011,3253,1047,7163.21,4.99,159781,597937,18536,227,3.1,1.23,71.47,0.72,145.8,11.98,0.39,31.56,Digital,0.24,0.0499,Medium,22.65
550,20240108,8029,3277,1171,15006.24,3.77,317884,1259724,20281,468,1.61,2.31,75.43,0.82,84.68,11.91,0.74,32.06,Product Launch,0.32,0.0377,Low,23.52
786,20240108,8055,3273,1160,4355.47,5.02,156275,416708,7959,156,1.91,1.97,77.36,2.62,284.87,10.45,0.55,27.92,Social Media,0.21,0.0502,High,27.71
565,20240108,8071,3166,1192,9268.23,4.19,333098,798624,26913,570,3.37,2.12,83.03,0.92,607.89,11.61,0.34,16.26,Digital,0.28,0.0419,Very High,51.06
954,20240108,8088,3213,1131,9068.67,4.45,243992,751222,19381,420,2.58,2.17,71.36,1.06,322.3,12.07,0.47,21.59,Digital,0.27,0.0445,High,33.05
985,20240108,8098,3125,1113,5128.38,4.38,402570,1801384,22517,538,1.25,2.39,66.78,2.37,1197.22,2.85,0.23,9.53,Seasonal,0.06,0.0438,,70.06
395,20240109,8020,3287,1122,3500.77,2.39,61824,312517,3000,31,0.96,1.05,75.8,2.3,-22.65,11.2,1.17,112.93,Brand Awareness,0.47,0.0239,Negative,6.71
724,20240109,8083,3296,1152,2725.54,3.49,61596,235717,5421,55,2.3,1.02,76.16,2.08,274.96,11.56,0.5,49.56,Seasonal,0.33,0.0349,High,15.37
21,20240109,8099,3291,1051,10486.69,2.98,251620,889597,22773,503,2.56,2.21,87.7,3.28,265.42,11.79,0.46,20.85,Product Launch,0.4,0.0298,High,42.07
752,20240110,8007,3081,1080,5815.29,7.47,468957,1126736,22196,124,1.97,0.56,77.95,2.56,98.48,5.16,0.26,46.9,Social Media,0.07,0.0747,Low,16.62
38,20240111,8006,3218,1169,15486.25,3.68,468283,1496903,23201,440,1.55,1.9,78.78,2.73,215.48,10.35,0.67,35.2,Product Launch,0.28,0.0368,High,22.38
436,20240111,8084,3242,1121,17700.94,3.53,510846,1657854,40285,817,2.43,2.03,67.35,2.96,523.28,10.68,0.44,21.67,Social Media,0.3,0.0353,Very High,31.09
820,20240112,8052,3213,1167,13609.98,4.43,307219,1148412,11943,91,1.04,0.77,83.93,1.96,-65.57,11.85,1.14,149.56,Product Launch,0.27,0.0443,Negative,5.61
24,20240112,8072,3259,1040,12005.78,4.43,400739,1106533,16044,219,1.45,1.37,73.73,2.92,217.52,10.85,0.75,54.82,Social Media,0.24,0.0443,High,13.45
620,20240112,8082,3076,1024,5466.05,3.66,188345,985695,30556,653,3.1,2.14,72.23,1.96,1879.05,5.55,0.18,8.37,Product Launch,0.15,0.0366,,86.29
654,20240112,8099,3300,1165,13295.73,6.24,399675,1105959,34395,701,3.11,2.04,81.66,3.3,517.04,12.02,0.39,18.97,Social Media,0.19,0.0624,Very High,43.05
552,20240113,8027,3006,1146,8769.16,3.18,206892,904396,23423,72,2.59,0.31,88.74,1.85,-17.83,9.7,0.37,121.79,Brand Awareness,0.3,0.0318,Negative,7.29
736,20240113,8063,3081,1057,8061.32,5.95,473859,1716475,51150,327,2.98,0.64,81.91,1.23,628.69,4.7,0.16,24.65,Social Media,0.08,0.0595,Very High,33.23
798,20240114,8030,3242,1040,26192.21,4.33,765375,2226604,31617,110,1.42,0.35,80.37,1.83,-64.9,11.76,0.83,238.11,Social Media,0.27,0.0433,Negative,3.38
221,20240114,8059,3212,1096,7585.47,3.5,282294,656369,7416,47,1.13,0.64,85.1,2.19,1.22,11.56,1.02,161.39,Digital,0.33,0.035,Low,5.27
319,20240114,8062,3278,1042,15657.15,3.15,293990,1316211,33300,449,2.53,1.35,64.56,2.71,332.32,11.9,0.47,34.87,Product Launch,0.38,0.0315,High,18.51
26,20240114,8076,3023,1185,9701.77,3.19,310964,929644,17477,127,1.88,0.73,81.4,0.93,47.1,10.44,0.56,76.39,Seasonal,0.33,0.0319,Low,10.66
676,20240114,8077,3265,1073,12288.59,3.53,328445,1068335,11324,164,1.06,1.45,74.48,0.96,112.75,11.5,1.09,74.93,Brand Awareness,0.33,0.0353,Medium,9.94
375,20240114,8087,3264,1080,18395.85,3.49,438356,1678772,51538,324,3.07,0.63,67.3,2.84,185.07,10.96,0.36,56.78,Seasonal,0.31,0.0349,Medium,11.85
296,20240114,8096,3004,1134,2849.95,2.31,53916,260204,9081,119,3.49,1.32,84.8,0.53,640.46,10.95,0.31,23.95,Seasonal,0.47,0.0231,Very High,35.41
641,20240114,8098,3224,1182,3383.11,3.54,82842,300478,4807,70,1.6,1.47,83.35,1.84,119.88,11.26,0.7,48.33,Seasonal,0.32,0.0354,Medium,17.25
376,20240115,8094,3234,1136,4706.22,4.46,79137,433642,14570,343,3.36,2.36,84.4,3.02,1114.18,10.85,0.32,13.72,Product Launch,0.24,0.0446,,61.51
211,20240116,8003,3218,1174,25224.01,3.5,700870,2518900,53904,700,2.14,1.3,83.59,2.63,329.19,10.01,0.47,36.03,Product Launch,0.29,0.035,High,23.2
275,20240116,8038,3099,1031,1909.28,4.96,59724,346832,3225,48,0.93,1.5,76.28,1.82,32.15,5.5,0.59,39.78,Product Launch,0.11,0.0496,Low,19.18
260,20240116,8039,3144,1173,3542.93,4.38,357377,1103865,23181,78,2.1,0.34,74.36,1.16,226.22,3.21,0.15,45.42,Seasonal,0.07,0.0438,High,16.37
845,20240116,8055,3264,1092,6639.05,2.22,115924,581575,10410,175,1.79,1.69,90.25,1.28,413.03,11.42,0.64,37.94,Brand Awareness,0.51,0.0222,High,23.79
473,20240116,8056,3182,1068,13908.1,2.52,346141,1321612,11365,146,0.86,1.29,65.46,3.21,-5.42,10.52,1.22,95.26,Seasonal,0.42,0.0252,Negative,6.87
97,20240116,8068,3240,1172,17593.31,4.29,633672,1569164,18829,197,1.2,1.05,79.83,2.46,-33.08,11.21,0.93,89.31,Social Media,0.26,0.0429,Negative,8.94
309,20240116,8077,3178,1055,2154.69,3.67,58489,186411,2572,40,1.38,1.59,72.74,2.82,96.76,11.56,0.84,53.87,Brand Awareness,0.31,0.0367,Low,13.5
581,20240116,8085,3086,1123,2034.1,4.26,77575,424992,13089,82,3.08,0.63,81.38,0.53,686.41,4.79,0.16,24.81,Brand Awareness,0.11,0.0426,Very High,32.81
279,20240116,8088,3132,1055,4018.37,3.11,360051,1326527,15255,160,1.15,1.05,66.85,1.9,191.93,3.03,0.26,25.11,Seasonal,0.1,0.0311,Medium,26.62
617,20240117,8001,3220,1084,11675.72,5.03,368753,1092376,10049,58,0.92,0.58,84.71,2.06,-60.33,10.69,1.16,201.31,Personalization,0.21,0.0503,Negative,4.21
161,20240117,8002,3257,1078,14564.73,2.85,216298,1373004,35835,795,2.61,2.22,84.65,0.6,436.46,10.61,0.41,18.32,Brand Awareness,0.37,0.0285,High,46.21
271,20240117,8019,3286,1185,3441.46,3.46,80107,328131,8006,56,2.44,0.71,74.29,1.08,205.32,10.49,0.43,61.45,Brand Awareness,0.3,0.0346,High,12.09
84,20240117,8031,3088,1198,2444.86,4.47,108146,472580,5623,123,1.19,2.2,75.69,1.16,873.49,5.17,0.43,19.88,Product Launch,0.12,0.0447,Very High,38.08
613,20240117,8036,3299,1022,9336.5,5.32,321640,832232,24550,591,2.95,2.41,76.74,0.58,1014.64,11.22,0.38,15.8,Social Media,0.21,0.0532,,48.58
950,20240117,8043,3256,1161,17566.64,2.47,406989,1584651,48331,1169,3.05,2.42,67.08,1.89,408.61,11.09,0.36,15.03,Seasonal,0.45,0.0247,High,44.64
156,20240117,8061,3012,1005,3091.79,4.8,102737,337375,9817,61,2.91,0.63,74.46,2.13,51.8,9.16,0.31,50.69,Social Media,0.19,0.048,Low,14.69
847,20240117,8084,3061,1094,4211.46,3.59,194455,827421,7115,32,0.86,0.46,67.09,1.22,10.97,5.09,0.59,131.61,Brand Awareness,0.14,0.0359,Low,5.1
626,20240118,8005,3188,1184,5037.84,3.14,88992,464971,4975,22,1.07,0.46,75.58,1.23,-44.19,10.83,1.01,228.99,New Product Launch,0.35,0.0314,Negative,3.3
437,20240118,8009,3066,1030,2590.75,6.32,197615,473499,13920,302,2.94,2.17,79.5,0.96,1218.74,5.47,0.19,8.58,Social Media,0.09,0.0632,,92.67
330,20240118,8012,3162,1003,7237.83,3.41,223260,655953,11413,45,1.74,0.4,81.39,1.66,-11.3,11.03,0.63,160.84,Product Launch,0.32,0.0341,Negative,5.06
705,20240118,8037,3083,1197,3436.24,3.65,187200,752327,8877,185,1.18,2.09,63.67,0.51,225.18,4.57,0.39,18.57,Product Launch,0.13,0.0365,High,34.28
186,20240119,8097,3038,1181,629.44,4.37,21763,101093,2638,23,2.61,0.88,66.69,0.71,424.8,6.23,0.24,27.37,Seasonal,0.14,0.0437,High,24.37
988,20240120,8068,3163,1007,21819.77,4.42,308645,1915224,17045,224,0.89,1.32,89.56,1.7,-10.07,11.39,1.28,97.41,Product Launch,0.26,0.0442,Negative,9.19
833,20240120,8093,3286,1149,8525.44,2.68,133162,821235,17081,222,2.08,1.3,76.44,2.4,200.99,10.38,0.5,38.4,Brand Awareness,0.39,0.0268,High,19.9
775,20240121,8048,3255,1086,21036.35,3.01,480653,1770040,54517,964,3.08,1.77,78.84,0.7,441.84,11.88,0.39,21.82,Seasonal,0.39,0.0301,High,36.13
696,20240121,8066,3299,1199,3556.98,2.89,60681,300457,4086,15,1.36,0.39,75.25,2.11,-66.76,11.84,0.87,237.13,Brand Awareness,0.41,0.0289,Negative,3.17
59,20240122,8035,3277,1063,2127.36,2.97,43890,205383,5504,96,2.68,1.75,74.74,2.38,641.24,10.36,0.39,22.16,Seasonal,0.35,0.0297,Very High,33.73
393,20240122,8081,3195,1196,1708.85,3.77,50211,170195,2263,14,1.33,0.64,73.33,1.82,-10.28,10.04,0.76,122.06,Product Launch,0.27,0.0377,Negative,6.01
439,20240123,8006,3062,1171,7265.41,6.58,411327,1369809,35478,227,2.59,0.64,63.36,1.35,279.16,5.3,0.2,32.01,Social Media,0.08,0.0658,High,19.8
795,20240123,8070,3298,1200,6960.45,3.18,168140,570338,15228,100,2.67,0.66,75.07,1.39,174.94,12.2,0.46,69.6,Brand Awareness,0.38,0.0318,Medium,10.79
766,20240124,8010,3276,1092,14371.28,4.23,255503,1276351,36758,319,2.88,0.87,84.67,1.42,134.52,11.26,0.39,45.05,Product Launch,0.27,0.0423,Medium,18.79
802,20240124,8042,3175,1148,16749.37,3.46,538705,1578745,20365,103,1.29,0.51,65.49,1.51,10.8,10.61,0.82,162.62,Product Launch,0.31,0.0346,Low,4.03
31,20240125,8010,3259,1113,1807.43,4.25,50277,159378,3219,30,2.02,0.95,68.48,2.62,-11.73,11.34,0.56,60.25,Digital,0.27,0.0425,Negative,11.37
983,20240126,8014,3006,1025,11122.2,3.14,252172,1155081,36154,462,3.13,1.28,82.33,0.74,680.67,9.63,0.31,24.07,Product Launch,0.31,0.0314,Very High,34.2
732,20240126,8036,3079,1146,921.18,4.15,28304,165875,1343,24,0.81,1.82,82.23,1.97,110.99,5.55,0.69,38.38,Seasonal,0.13,0.0415,Medium,21.42
782,20240126,8056,3046,1137,7085.44,4.66,373290,839593,8479,98,1.01,1.16,75.05,3.19,-15.74,8.44,0.84,72.3,Social Media,0.18,0.0466,Negative,10.38
787,20240127,8061,3052,1200,1991.43,4.4,105586,404965,9921,70,2.45,0.71,73.32,1.57,164.43,4.92,0.2,28.45,Product Launch,0.11,0.044,Medium,25.77
225,20240127,8068,3016,1188,8077.04,2.83,239572,816311,19836,214,2.43,1.08,80.24,0.62,77.85,9.89,0.41,37.74,Seasonal,0.35,0.0283,Low,21.26
800,20240127,8069,3111,1103,4269.31,6.09,233468,925141,19890,407,2.15,2.05,87.79,2.25,1563.73,4.61,0.21,10.49,Social Media,0.08,0.0609,,83.69
938,20240127,8080,3050,1196,3332.19,2.46,71546,381628,11792,281,3.09,2.39,69.28,3.05,1122.82,8.73,0.28,11.86,Brand Awareness,0.35,0.0246,,58.42
502,20240128,8011,3190,1149,14362.11,3.07,247688,1201012,26182,204,2.18,0.78,77.98,2.89,58.15,11.96,0.55,70.4,Product Launch,0.39,0.0307,Low,11.08
87,20240128,8016,3179,1118,8334.06,2.59,124631,774662,19676,251,2.54,1.28,69.18,2.96,407.59,10.76,0.42,33.2,Product Launch,0.42,0.0259,High,20.84
192,20240128,8067,3056,1133,10602.19,5.31,835943,2128697,22989,349,1.08,1.52,69.24,1.48,299.83,4.98,0.46,30.38,Social Media,0.09,0.0531,High,22.79
288,20240130,8004,3108,1062,3926.13,4.13,123626,747718,8150,105,1.09,1.29,71.01,1.87,418.72,5.25,0.48,37.39,Seasonal Promotion,0.13,0.0413,High,18.99
68,20240130,8086,3147,1019,1169.22,3.63,67872,370861,10495,235,2.83,2.24,72.63,3.47,1021.97,3.15,0.11,4.98,Seasonal,0.09,0.0363,,145.98
167,20240131,8027,3010,1142,10932.31,5.4,385239,1048360,25789,175,2.46,0.68,84.96,3.33,166.78,10.43,0.42,62.47,Social Media,0.19,0.054,Medium,13.6
704,20240131,8045,3100,1087,4847.51,4.56,264005,875817,16640,113,1.9,0.68,73.29,0.72,342.96,5.53,0.29,42.9,Product Launch,0.12,0.0456,High,17.08
203,20240131,8080,3126,1173,6548.98,6.48,617848,2199401,31011,210,1.41,0.68,82.38,0.76,491.7,2.98,0.21,31.19,Digital,0.05,0.0648,High,26.42
742,20240131,8084,3231,1008,11726.95,2.78,219444,1129049,10500,185,0.93,1.77,79.68,3.29,137.74,10.39,1.12,63.39,Brand Awareness,0.37,0.0278,Medium,12.57
315,20240131,8098,3062,1013,7760.19,3.04,365886,1433467,44437,506,3.1,1.14,65.39,1.54,1017.83,5.41,0.17,15.34,Seasonal,0.18,0.0304,,42.64
412,20240202,8077,3293,1135,9396.2,3.04,261095,835470,10359,222,1.24,2.15,79.37,2.37,202.44,11.25,0.91,42.33,Brand Awareness,0.37,0.0304,High,18.75
955,20240203,8039,3195,1112,19712.07,2.68,400662,1707360,26293,297,1.54,1.13,83.18,0.91,24.79,11.55,0.75,66.37,Product Launch,0.43,0.0268,Low,12.53
66,20240203,8051,3089,1142,2341.85,3.68,98057,464185,11697,66,2.52,0.57,89.21,2.37,260.2,5.05,0.2,35.48,Product Launch,0.14,0.0368,High,25.14
27,20240203,8091,3197,1169,9591.62,3.35,320700,954036,22992,482,2.41,2.1,86.97,1.94,842.53,10.05,0.42,19.9,Brand Awareness,0.3,0.0335,Very High,43.7
946,20240204,8038,3102,1054,5016.63,4.12,244200,926942,18538,389,2.0,2.1,72.29,0.57,1109.61,5.41,0.27,12.9,Digital,0.13,0.0412,,56.06
244,20240204,8082,3293,1082,15605.66,4.52,391208,1326089,20554,513,1.55,2.5,77.1,1.11,533.75,11.77,0.76,30.42,Digital,0.26,0.0452,Very High,25.34
176,20240204,8095,3142,1087,4301.26,5.51,270011,1318109,15290,88,1.16,0.58,90.37,1.5,53.42,3.26,0.28,48.88,Product Launch,0.06,0.0551,Low,18.49
936,20240205,8038,3035,1189,2300.39,3.89,77609,232349,6087,89,2.62,1.47,71.15,1.06,517.36,9.9,0.38,25.85,Product Launch,0.25,0.0389,Very High,27.53
70,20240206,8042,3245,1136,9535.38,4.44,184491,887829,27700,479,3.12,1.73,79.52,3.31,205.8,10.74,0.34,19.91,Product Launch,0.24,0.0444,High,39.95
391,20240206,8056,3123,1130,4493.51,5.34,256163,1392784,32034,419,2.3,1.31,74.22,1.69,1595.46,3.23,0.14,10.72,Product Launch,0.06,0.0534,,69.21
325,20240206,8089,3071,1162,4930.89,5.32,276406,1078308,18870,205,1.75,1.09,87.44,2.44,486.43,4.57,0.26,24.05,Product Launch,0.09,0.0532,High,36.35
356,20240206,8094,3128,1179,3644.73,5.05,246585,1228284,33777,783,2.75,2.32,68.19,1.85,2379.68,2.97,0.11,4.65,Seasonal,0.06,0.0505,,146.49
474,20240207,8013,3120,1109,3925.16,4.38,142412,826228,19994,151,2.42,0.76,79.22,1.35,450.49,4.75,0.2,25.99,Brand Awareness,0.11,0.0438,High,30.48
478,20240208,8096,3241,1004,10128.01,3.9,367473,936436,11143,94,1.19,0.85,85.84,1.27,36.91,10.82,0.91,107.74,Digital,0.28,0.039,Low,7.97
453,20240209,8046,3263,1066,3941.45,3.52,105458,344338,8229,55,2.39,0.67,76.91,2.05,148.65,11.45,0.48,71.66,Brand Awareness,0.33,0.0352,Medium,10.73
404,20240209,8064,3115,1191,716.33,4.15,25991,139841,1272,28,0.91,2.21,82.37,3.02,230.82,5.12,0.56,25.58,Product Launch,0.12,0.0415,High,32.2
718,20240209,8087,3039,1086,7120.25,4.52,305372,1082268,22078,267,2.04,1.21,74.17,2.57,618.88,6.58,0.32,26.67,Product Launch,0.15,0.0452,Very High,27.81
825,20240210,8032,3116,1123,4862.92,3.73,164116,902870,27086,102,3.0,0.38,72.51,1.83,109.35,5.39,0.18,47.68,Seasonal,0.14,0.0373,Medium,15.21
264,20240210,8040,3120,1046,1193.76,3.1,45825,225000,3240,76,1.44,2.37,71.59,2.85,311.61,5.31,0.37,15.71,Brand Awareness,0.17,0.031,High,45.58
118,20240210,8093,3263,1068,8457.13,2.77,195078,724037,8181,160,1.13,1.96,88.45,3.18,59.82,11.68,1.03,52.86,Product Launch,0.42,0.0277,Low,16.73
146,20240211,8009,3167,1058,7682.45,4.2,216950,732930,14072,227,1.92,1.62,72.36,1.94,384.04,10.48,0.55,33.84,Product Launch,0.25,0.042,High,21.38
392,20240211,8012,3287,1130,15421.98,3.14,563486,1513961,31338,570,2.07,1.82,75.1,2.77,293.36,10.19,0.49,27.06,Digital,0.32,0.0314,High,27.76
307,20240211,8067,3192,1099,4452.93,4.33,166404,420157,10545,56,2.51,0.54,72.94,0.9,55.1,10.6,0.42,79.52,Social Media,0.24,0.0433,Low,9.17
139,20240211,8071,3078,1134,7415.18,5.37,435514,1349481,46826,430,3.47,0.92,64.4,2.14,264.78,5.49,0.16,17.24,Digital,0.1,0.0537,High,37.35
522,20240211,8071,3268,1119,6231.43,2.3,98087,551942,13136,225,2.38,1.72,78.99,1.72,554.58,11.29,0.47,27.7,Seasonal,0.49,0.023,Very High,28.52
650,20240211,8079,3003,1075,9490.85,3.4,245485,978274,24945,284,2.55,1.14,73.75,1.96,72.35,9.7,0.38,33.42,Brand Awareness,0.29,0.034,Low,22.07
360,20240211,8085,3037,1145,9352.5,4.98,458532,1425077,27789,233,1.95,0.84,81.14,1.33,179.29,6.56,0.34,40.14,Digital,0.13,0.0498,Medium,20.21
933,20240211,8097,3032,1123,14984.15,4.76,462752,1499072,27133,507,1.81,1.87,61.42,1.9,144.75,10.0,0.55,29.55,Digital,0.21,0.0476,Medium,20.78
839,20240212,8013,3107,1074,1969.02,3.92,100659,377437,12832,84,3.4,0.66,74.39,3.0,338.32,5.22,0.15,23.44,Brand Awareness,0.13,0.0392,High,31.74
123,20240212,8088,3042,1103,10066.13,3.76,280122,1103641,14457,289,1.31,2.0,69.54,3.22,283.38,9.12,0.7,34.83,Social Media,0.24,0.0376,High,19.97
14,20240213,8042,3094,1085,8429.7,5.58,508387,1623106,53887,468,3.32,0.87,72.29,2.4,539.2,5.19,0.16,18.01,Digital,0.09,0.0558,Very High,40.13
58,20240213,8063,3227,1009,32921.65,3.02,1000383,3244084,36009,273,1.11,0.76,75.91,1.86,-11.93,10.15,0.91,120.59,Brand Awareness,0.34,0.0302,Negative,6.29
195,20240213,8099,3290,1151,10892.71,3.92,391917,912160,18608,106,2.04,0.57,79.39,2.94,28.41,11.94,0.59,102.76,Social Media,0.3,0.0392,Low,7.73
897,20240214,8017,3027,1067,13852.24,2.75,383081,1413121,15120,178,1.07,1.18,74.74,3.06,-1.67,9.8,0.92,77.82,Brand Awareness,0.36,0.0275,Negative,9.6
50,20240214,8093,3292,1001,34376.3,4.03,970506,3292477,36875,741,1.12,2.01,90.58,1.89,248.47,10.44,0.93,46.39,Seasonal,0.26,0.0403,High,19.53
311,20240215,8018,3135,1017,6564.4,6.5,538835,2150370,66016,1241,3.07,1.88,67.77,0.73,1385.58,3.05,0.1,5.29,Social Media,0.05,0.065,,128.12
878,20240216,8017,3155,1030,21047.91,2.63,520011,1761918,45457,195,2.58,0.43,69.54,3.42,51.27,11.95,0.46,107.94,Product Launch,0.45,0.0263,Low,6.44
482,20240216,8066,3159,1040,14906.29,4.08,462183,1307568,40926,388,3.13,0.95,76.01,0.97,292.55,11.4,0.36,38.42,Digital,0.28,0.0408,High,19.78
85,20240217,8036,3207,1125,13681.7,2.4,455844,1303875,40028,668,3.07,1.67,79.24,3.0,672.56,10.49,0.34,20.48,Brand Awareness,0.44,0.024,Very High,38.69
698,20240217,8091,3175,1014,21639.14,4.28,368860,1901404,64077,326,3.37,0.51,77.42,1.05,0.04,11.38,0.34,66.38,Product Launch,0.27,0.0428,Low,11.66
601,20240218,8042,3092,1045,1899.65,2.63,111478,396615,4164,94,1.05,2.27,78.98,3.24,685.7,4.79,0.46,20.21,Brand Awareness,0.18,0.0263,Very High,39.08
373,20240218,8059,3155,1144,15879.25,2.82,243010,1358720,21875,238,1.61,1.09,73.89,2.1,142.93,11.69,0.73,66.72,Product Launch,0.41,0.0282,Medium,11.07
967,20240218,8079,3043,1176,17335.87,4.25,605108,1765404,19242,413,1.09,2.15,77.45,1.17,333.07,9.82,0.9,41.98,Digital,0.23,0.0425,High,18.45
40,20240219,8052,3194,1046,9536.81,3.89,276799,806010,14588,348,1.81,2.39,77.98,3.44,247.11,11.83,0.65,27.4,Product Launch,0.3,0.0389,High,28.46
943,20240220,8046,3024,1023,13156.88,4.47,342302,1317909,20295,411,1.54,2.03,77.66,2.76,408.48,9.98,0.65,32.01,Social Media,0.22,0.0447,High,24.26
869,20240220,8099,3298,1012,25104.98,3.38,746320,2496847,72907,481,2.92,0.66,83.95,0.89,51.97,10.05,0.34,52.19,Digital,0.3,0.0338,Low,16.08
467,20240221,8036,3102,1091,2799.13,4.6,211081,597772,4901,18,0.82,0.38,87.12,1.93,-44.93,4.68,0.57,155.51,Digital,0.1,0.046,Negative,5.6
235,20240221,8059,3227,1172,27566.7,3.44,1044708,2416185,84324,2049,3.49,2.43,74.9,3.2,494.0,11.41,0.33,13.45,Social Media,0.33,0.0344,High,55.67
361,20240221,8096,3096,1147,5597.73,4.69,283757,1130328,37639,756,3.33,2.01,83.84,3.48,2511.72,4.95,0.15,7.4,Product Launch,0.11,0.0469,,113.23
679,20240221,8098,3093,1083,2362.01,5.02,111002,483135,10097,184,2.09,1.83,86.47,0.95,1002.25,4.89,0.23,12.84,Brand Awareness,0.1,0.0502,,67.36
89,20240223,8002,3198,1007,35075.51,2.4,563421,3111335,88050,493,2.83,0.56,84.78,3.23,107.5,11.27,0.4,71.15,Brand Awareness,0.47,0.024,Medium,11.92
