ProductionID,DateKey,PlantID,ProductID,Produced_Quantity,Production_Cost,Material_Cost,Labor_Cost,Energy_Cost,Downtime_Hours,Efficiency_Rate,Quality_Defect_Rate,Capacity_Utilization,Shift,Cost_Per_Unit,OEE,Downtime_Cost
47,20240202,6011,1054,10007,12082.78,9187.49,2279.18,616.1,0.0,88.53,0.18,54.5,Morning,1.2074,42.52,0.0
681,20240202,6027,1172,7146,9758.97,7057.05,2090.3,611.62,0.0,86.58,0.36,56.28,Afternoon,1.3657,45.15,0.0
539,20240202,6094,1133,4639,5680.06,3718.36,1560.42,401.28,0.0,83.98,0.29,50.21,Morning,1.2244,55.74,0.0
970,20240203,6001,1087,12076,10836.54,7056.65,2849.72,930.17,0.0,93.12,0.27,55.32,Afternoon,0.8974,60.24,0.0
171,20240203,6036,1084,7535,7576.47,4693.58,1773.82,1109.08,0.2,86.61,0.35,60.2,Afternoon,1.0055,64.75,100.0
826,20240203,6086,1090,5531,5604.79,3197.38,1882.09,525.32,0.0,83.08,0.29,49.56,Night,1.0133,52.29,0.0
977,20240204,6021,1158,4145,7087.75,5742.2,878.15,467.4,0.0,86.89,0.49,42.53,Night,1.71,37.95,0.0
955,20240204,6064,1007,7453,7040.83,3440.17,2571.3,1029.35,0.0,86.11,0.1,58.81,Morning,0.9447,83.19,0.0
564,20240205,6015,1049,8907,11308.7,8266.92,1828.52,1213.26,0.0,88.93,0.19,59.83,Afternoon,1.2696,50.41,0.0
461,20240205,6027,1075,9051,5842.31,2611.75,2400.67,829.88,0.0,87.96,0.05,52.52,Afternoon,0.6455,57.18,0.0
547,20240205,6092,1176,5653,7997.31,5527.62,1832.93,636.76,0.0,84.77,0.37,55.27,Night,1.4147,71.29,0.0
509,20240206,6020,1042,11031,13110.11,10065.06,1783.2,1261.84,0.0,93.74,0.19,56.44,Morning,1.1885,76.09,0.0
349,20240206,6022,1197,4386,3872.01,2211.05,1185.47,475.48,0.0,84.13,0.58,49.55,Afternoon,0.8828,24.99,0.0
64,20240206,6095,1033,5037,4455.96,2345.02,1838.48,272.46,0.0,88.45,0.09,55.1,Night,0.8846,53.38,0.0
101,20240207,6016,1119,10971,16453.02,13767.61,1746.49,938.92,0.0,90.06,0.38,63.79,Morning,1.4997,55.68,0.0
950,20240207,6082,1106,4215,6608.75,4909.89,1460.1,238.76,0.0,88.96,0.36,58.01,Morning,1.5679,58.61,0.0
242,20240207,6090,1020,4796,4414.24,2215.43,1523.71,675.1,0.0,86.91,0.1,54.27,Night,0.9204,58.5,0.0
366,20240208,6007,1200,7600,6327.27,3900.38,1729.14,697.76,0.0,95.37,0.56,59.51,Afternoon,0.8325,26.95,0.0
673,20240208,6063,1194,2644,2523.55,1258.4,928.26,336.88,0.0,83.71,0.57,46.08,Afternoon,0.9544,25.36,0.0
8,20240209,6029,1186,4109,3416.63,1991.71,1072.22,352.7,0.0,85.11,0.56,55.09,Afternoon,0.8315,34.63,0.0
847,20240209,6048,1017,10768,9287.36,4747.65,3058.23,1481.47,0.0,90.63,0.09,63.05,Night,0.8625,93.57,0.0
144,20240209,6073,1195,3258,3034.71,1557.67,1132.77,344.27,0.0,86.72,0.6,53.99,Night,0.9315,39.55,0.0
889,20240210,6002,1074,23735,14831.98,6821.64,5383.23,2627.11,0.0,90.03,0.05,66.57,Afternoon,0.6249,100.0,0.0
568,20240210,6005,1127,12689,14464.24,10264.61,2769.75,1429.88,0.0,98.47,0.29,67.57,Morning,1.1399,51.27,0.0
490,20240211,6003,1045,12703,15461.34,11528.96,2572.73,1359.65,0.0,95.68,0.18,54.29,Night,1.2171,64.54,0.0
823,20240211,6030,1035,8763,6817.99,3994.25,2122.01,701.73,0.0,86.86,0.09,54.23,Morning,0.778,62.48,0.0
234,20240212,6052,1036,9125,7385.0,4075.49,2628.76,680.75,0.0,89.96,0.09,53.26,Night,0.8093,93.47,0.0
684,20240212,6085,1163,4116,6059.95,4101.27,1616.49,342.19,0.0,80.8,0.38,51.41,Morning,1.4723,47.91,0.0
728,20240213,6004,1186,9104,7678.13,4337.96,2122.57,1217.6,0.0,96.69,0.58,56.31,Night,0.8434,31.04,0.0
779,20240213,6039,1064,13407,8376.63,4080.11,3197.42,1099.1,3.0,84.86,0.07,61.75,Afternoon,0.6248,94.38,1500.0
380,20240213,6089,1134,4242,5418.53,3485.44,1482.15,450.94,2.6,86.73,0.41,49.07,Morning,1.2774,50.52,1300.0
520,20240213,6100,1156,2824,5533.72,4142.79,1021.96,368.97,0.0,83.65,0.49,49.96,Afternoon,1.9595,24.04,0.0
957,20240214,6032,1075,12000,8758.22,3536.63,3547.38,1674.21,0.0,90.48,0.05,54.46,Afternoon,0.7299,91.91,0.0
807,20240214,6094,1011,5849,4896.36,2567.93,1763.2,565.23,0.0,87.15,0.1,48.94,Afternoon,0.8371,70.28,0.0
982,20240215,6005,1078,16028,9462.61,4945.14,2612.39,1905.08,0.0,90.66,0.05,57.84,Afternoon,0.5904,64.77,0.0
160,20240215,6019,1101,9555,14283.14,11124.54,2181.53,977.08,0.0,88.0,0.4,62.72,Morning,1.4948,54.76,0.0
263,20240215,6031,1014,8791,6978.59,3981.36,2432.75,564.48,0.0,90.22,0.1,53.05,Night,0.7938,58.29,0.0
479,20240215,6047,1042,8203,11441.1,7723.95,2600.73,1116.42,0.0,89.9,0.2,55.26,Night,1.3947,75.12,0.0
46,20240215,6055,1083,9299,9350.31,5697.0,3172.56,480.75,2.4,91.25,0.44,54.89,Afternoon,1.0055,72.71,1200.0
298,20240216,6009,1154,9950,16852.82,14335.51,1627.96,889.36,0.0,87.42,0.47,63.51,Night,1.6938,54.43,0.0
60,20240216,6024,1097,7942,7589.44,4985.38,1763.21,840.85,0.0,87.5,0.3,51.59,Afternoon,0.9556,56.51,0.0
330,20240216,6030,1169,6766,9346.89,6631.81,1800.47,914.62,0.0,84.46,0.39,48.06,Night,1.3814,48.24,0.0
958,20240217,6004,1179,14515,19363.7,14908.29,3228.39,1227.02,0.0,96.37,0.39,71.7,Afternoon,1.334,49.5,0.0
972,20240217,6018,1021,11691,7889.3,5168.93,1930.11,790.26,0.9,90.36,0.12,56.35,Night,0.6748,61.38,450.0
316,20240217,6055,1091,6353,6127.98,3854.76,1833.11,440.11,0.0,88.91,0.29,52.88,Afternoon,0.9646,44.7,0.0
916,20240218,6030,1129,6168,6701.32,4788.56,1322.23,590.53,0.0,90.29,0.28,59.56,Afternoon,1.0865,43.98,0.0
745,20240218,6059,1027,7016,5584.33,3261.54,1807.98,514.82,0.0,90.59,0.09,52.23,Night,0.7959,42.37,0.0
168,20240219,6018,1052,10321,12176.02,9038.5,2094.75,1042.78,0.0,90.18,0.2,52.09,Afternoon,1.1797,52.16,0.0
98,20240220,6023,1065,14523,10493.51,4574.15,4110.9,1808.46,0.0,88.87,0.05,65.55,Afternoon,0.7225,100.0,0.0
288,20240220,6023,1138,5089,6123.85,4139.25,1359.45,625.15,1.1,83.85,0.31,46.12,Afternoon,1.2034,36.72,550.0
852,20240220,6052,1189,4458,3865.77,2217.18,1133.17,515.43,0.0,85.34,0.55,49.78,Afternoon,0.8672,45.66,0.0
146,20240220,6070,1093,4464,4229.16,2551.46,1396.53,281.17,0.0,82.93,0.29,46.87,Night,0.9474,69.52,0.0
833,20240223,6046,1120,5262,8595.28,6377.45,1552.58,665.26,0.0,90.44,0.39,52.07,Night,1.6335,34.04,0.0
740,20240223,6047,1096,8073,8255.18,5028.49,2799.4,427.29,0.0,89.98,0.29,57.57,Afternoon,1.0226,73.93,0.0
436,20240224,6001,1040,13839,11054.73,6452.75,2649.83,1952.15,0.0,93.96,0.09,62.33,Afternoon,0.7988,69.04,0.0
626,20240224,6025,1004,9112,6891.69,3934.39,2186.63,770.66,0.0,91.65,0.1,57.08,Night,0.7563,69.14,0.0
960,20240224,6047,1152,6089,10922.2,8366.4,1908.51,647.29,0.0,90.04,0.47,57.25,Night,1.7938,55.76,0.0
559,20240225,6001,1133,13116,14806.93,10681.41,2320.58,1804.94,0.0,98.52,0.29,56.66,Night,1.1289,65.43,0.0
100,20240225,6004,1100,12979,11091.28,7481.74,2444.2,1165.34,0.0,96.36,0.3,65.29,Afternoon,0.8546,44.26,0.0
340,20240225,6018,1055,9737,11815.93,9026.91,1630.06,1158.97,0.0,94.75,0.2,54.22,Night,1.2135,49.21,0.0
766,20240225,6020,1197,5609,4223.58,2676.61,1177.25,369.71,0.0,89.12,0.59,55.58,Afternoon,0.753,38.69,0.0
384,20240225,6055,1089,7787,7971.19,4481.57,2711.46,778.16,3.8,86.08,0.43,50.77,Morning,1.0237,65.1,1900.0
79,20240226,6046,1125,6170,7191.22,5024.81,1683.75,482.66,0.0,88.53,0.29,45.19,Afternoon,1.1655,39.92,0.0
911,20240226,6088,1126,3807,4885.34,3177.33,1355.51,352.5,0.0,83.32,0.27,51.1,Afternoon,1.2833,40.39,0.0
624,20240227,6024,1039,8703,7683.95,3983.48,2422.47,1278.01,0.3,87.76,0.1,50.32,Afternoon,0.8829,62.71,150.0
769,20240227,6095,1045,4929,7033.75,4631.55,1696.04,706.17,0.0,81.88,0.18,54.68,Morning,1.427,52.23,0.0
735,20240228,6029,1123,7125,8433.22,5865.13,1580.31,987.79,0.0,91.11,0.28,58.96,Afternoon,1.1836,60.05,0.0
106,20240228,6038,1162,7796,10124.55,7409.49,1824.16,890.9,0.0,87.7,0.39,57.81,Night,1.2987,69.43,0.0
914,20240228,6073,1123,4280,5200.75,3330.4,1537.7,332.64,0.0,86.34,0.3,50.16,Afternoon,1.2151,51.95,0.0
283,20240228,6075,1029,5264,4535.59,2301.39,1617.22,616.97,0.0,84.93,0.09,51.29,Afternoon,0.8616,60.11,0.0
923,20240228,6091,1046,3885,5432.64,3550.91,1378.24,503.49,0.0,84.21,0.18,54.21,Afternoon,1.3984,39.8,0.0
560,20240229,6056,1101,5997,9522.0,7199.85,1603.02,719.13,0.0,84.21,0.4,46.56,Night,1.5878,50.17,0.0
439,20240229,6057,1119,7147,11037.05,8261.75,2368.18,407.12,0.0,92.24,0.37,56.7,Morning,1.5443,51.45,0.0
324,20240301,6069,1024,7640,6792.89,3393.1,2465.49,934.3,0.0,87.52,0.1,67.19,Afternoon,0.8891,87.83,0.0
949,20240302,6048,1095,7823,7744.82,4557.38,2392.92,794.53,0.0,91.04,0.28,59.78,Morning,0.99,67.98,0.0
73,20240303,6024,1119,7798,11881.79,9135.3,1871.13,875.37,0.0,86.73,0.36,62.71,Night,1.5237,55.49,0.0
953,20240303,6040,1115,6216,9644.36,7484.96,1711.99,447.41,0.0,88.39,0.38,47.07,Night,1.5515,36.72,0.0
927,20240303,6046,1138,9382,10393.36,7199.22,2402.27,791.87,0.0,88.16,0.3,70.43,Morning,1.1078,60.7,0.0
373,20240303,6060,1106,7665,11581.11,9112.16,1940.77,528.18,0.0,86.04,0.38,61.15,Night,1.5109,64.68,0.0
203,20240303,6080,1052,4798,6274.5,4237.09,1639.26,398.16,0.0,82.75,0.18,63.15,Morning,1.3077,45.96,0.0
419,20240303,6087,1175,5084,6836.27,4886.86,1550.28,399.13,0.0,84.27,0.37,57.32,Afternoon,1.3447,72.68,0.0
118,20240303,6096,1022,6171,5554.0,2728.03,1948.03,877.93,1.6,81.05,0.12,47.54,Night,0.9,71.69,800.0
811,20240304,6033,1142,6237,11305.76,9131.68,1725.56,448.52,0.0,90.32,0.49,62.91,Night,1.8127,53.23,0.0
875,20240304,6085,1134,3629,4795.94,2898.46,1365.16,532.32,0.0,87.03,0.28,53.02,Afternoon,1.3216,42.24,0.0
131,20240305,6014,1132,11830,13727.32,9851.62,2500.56,1375.13,0.0,88.94,0.29,61.6,Night,1.1604,86.7,0.0
672,20240305,6046,1185,6528,5862.2,3125.7,1997.56,738.93,0.0,90.11,0.57,72.54,Morning,0.898,42.23,0.0
576,20240305,6070,1050,5992,7662.45,5339.37,2020.76,302.32,0.0,85.93,0.19,62.27,Morning,1.2788,93.32,0.0
686,20240305,6092,1127,4195,5199.74,3257.65,1406.11,535.98,0.0,82.36,0.29,50.57,Night,1.2395,52.9,0.0
861,20240306,6003,1096,11308,10804.98,6714.99,2513.14,1576.86,0.0,89.89,0.29,49.49,Night,0.9555,57.45,0.0
137,20240306,6089,1080,8291,6272.71,2553.84,3017.93,700.94,5.9,82.26,0.07,54.09,Night,0.7566,116.75,2950.0
523,20240307,6031,1008,10215,7878.5,4615.3,2130.24,1132.96,0.0,91.99,0.09,54.33,Night,0.7713,67.73,0.0
133,20240307,6060,1030,10495,8244.56,4764.88,2701.81,777.87,0.0,87.1,0.1,57.76,Afternoon,0.7856,88.57,0.0
947,20240307,6090,1037,5888,5356.43,2656.17,2307.78,392.49,0.0,80.79,0.09,56.03,Night,0.9097,71.82,0.0
574,20240308,6067,1099,4455,4789.68,2632.69,1776.1,380.89,0.0,88.17,0.29,55.18,Night,1.0751,50.41,0.0
694,20240309,6020,1177,14498,19503.48,14897.3,3180.21,1425.97,0.0,91.55,0.36,69.87,Night,1.3453,100.0,0.0
199,20240309,6034,1147,7033,12579.42,10039.61,1898.55,641.26,1.0,92.02,0.53,68.27,Afternoon,1.7886,92.64,500.0
701,20240309,6043,1085,9811,10038.7,6068.88,3425.48,544.34,0.0,86.27,0.29,68.37,Morning,1.0232,59.85,0.0
178,20240309,6066,1099,5763,5999.65,3610.36,1973.36,415.94,0.0,81.36,0.3,59.57,Night,1.0411,53.54,0.0
323,20240311,6025,1114,6102,10056.42,7661.85,1744.89,649.68,0.0,85.52,0.36,54.4,Afternoon,1.6481,46.3,0.0
543,20240311,6029,1042,8775,10727.75,7565.34,1934.2,1228.21,0.0,86.88,0.2,60.21,Night,1.2225,73.95,0.0
792,20240311,6063,1044,5637,8033.09,5278.41,2193.5,561.18,1.5,86.35,0.24,67.79,Morning,1.4251,57.68,750.0
484,20240312,6034,1137,6482,7718.06,5412.97,1528.13,776.96,0.0,90.69,0.29,51.53,Night,1.1907,81.82,0.0
472,20240312,6038,1091,9228,8653.42,5421.91,2096.1,1135.42,0.0,88.01,0.29,70.28,Afternoon,0.9377,82.18,0.0
477,20240312,6075,1051,4784,6301.13,4485.99,1488.41,326.73,0.0,83.83,0.18,61.57,Afternoon,1.3171,54.62,0.0
36,20240313,6038,1049,10301,12163.52,9158.25,2160.41,844.87,0.0,86.89,0.18,65.98,Morning,1.1808,91.74,0.0
290,20240313,6042,1175,9567,14361.11,9978.36,3179.25,1203.5,2.4,90.75,0.49,62.87,Night,1.5011,74.96,1200.0
722,20240313,6092,1142,4694,8521.23,6250.42,1708.39,562.41,0.0,81.96,0.46,64.64,Morning,1.8153,59.19,0.0
422,20240315,6012,1162,10019,13565.18,10452.01,1915.03,1198.14,0.0,90.93,0.36,63.59,Night,1.3539,60.33,0.0
205,20240315,6082,1015,5823,4893.55,2681.53,1767.5,444.52,0.0,85.88,0.09,53.91,Night,0.8404,80.96,0.0
