RetailID,DateKey,StoreID,ProductID,SKU_Availability_Pct,OOS_Rate_Pct,Cooler_Functional_Pct,Planogram_Compliance_Pct,Shelf_Share_Pct,Product_Placement,Price_Compliance,Promotion_Execution,Store_Audit_Score
60,20240327,9090,1177,99.82,0.1,99.9,98.96,13.88,Top Shelf,1,1,91.0
61,20241025,9970,1007,99.9,0.1,99.9,99.9,18.31,Eye Level,1,1,92.0
62,20240915,9866,1065,99.9,0.65,99.9,98.93,14.8,Checkout,1,1,91.0
63,20240501,9239,1100,92.95,6.39,98.01,91.95,22.56,Eye Level,1,1,88.0
64,20241214,9706,1076,99.22,0.1,99.9,99.9,13.63,Top Shelf,1,0,88.0
65,20240518,9088,1115,96.86,4.79,98.22,95.74,11.62,Checkout,1,1,89.0
66,20240205,9083,1099,97.11,3.92,98.43,94.55,14.98,Top Shelf,1,1,89.0
67,20240229,9352,1059,98.63,2.05,99.56,98.26,14.73,Waist Level,1,1,91.0
68,20240622,9701,1108,98.73,3.36,99.06,97.04,9.84,Checkout,1,1,90.0
69,20240811,9042,1006,99.9,0.1,99.9,96.27,18.58,Bottom Shelf,1,1,91.0
70,20240714,9898,1125,97.34,2.97,98.35,94.15,20.56,Bottom Shelf,1,1,89.0
71,20240903,9185,1149,94.69,5.81,99.76,91.96,19.28,Checkout,1,1,88.0
72,20240406,9350,1193,97.93,2.28,99.9,99.48,13.04,Eye Level,0,0,87.0
73,20240822,9687,1181,92.78,5.87,95.57,93.19,15.1,Waist Level,1,1,87.0
74,20240402,9709,1143,91.43,7.35,98.68,93.58,13.08,Eye Level,1,1,87.0
75,20240127,9838,1189,94.25,4.4,97.58,95.91,18.88,Bottom Shelf,1,1,89.0
76,20240516,9625,1107,95.27,5.75,99.13,91.18,14.95,Bottom Shelf,1,0,85.0
77,20240104,9981,1022,99.3,1.71,99.9,98.2,18.27,Top Shelf,1,1,91.0
78,20240601,9757,1199,96.37,6.19,98.25,94.6,16.07,Top Shelf,0,1,88.0
79,20240106,9375,1056,97.11,3.44,98.74,93.9,13.94,Waist Level,1,1,89.0
80,20240217,9801,1186,96.23,4.05,99.9,96.45,16.01,Eye Level,1,1,90.0
81,20241227,9041,1017,99.42,1.02,99.52,96.01,14.68,Waist Level,1,1,90.0
82,20240428,9675,1009,98.91,3.02,99.9,92.2,17.72,Checkout,1,0,86.0
83,20241203,9633,1169,97.19,2.4,99.9,96.07,15.03,Waist Level,1,1,90.0
84,20241022,9910,1130,99.64,0.43,99.9,99.9,10.53,Eye Level,1,1,91.0
85,20241017,9734,1057,95.82,3.9,99.9,93.97,13.72,Checkout,1,1,89.0
86,20240531,9770,1188,96.86,2.97,99.9,97.77,18.83,Bottom Shelf,1,1,90.0
87,20240507,9354,1079,98.49,3.24,99.9,94.2,19.68,Bottom Shelf,1,1,90.0
88,20240709,9600,1129,99.9,0.68,99.9,97.92,10.51,Waist Level,1,0,87.0
89,20240209,9903,1065,96.69,2.63,99.7,93.88,16.63,Checkout,1,1,89.0
90,20241207,9473,1134,98.99,1.51,99.01,94.11,15.07,Checkout,1,1,90.0
91,20240827,9576,1184,97.31,3.01,99.9,99.9,12.94,Waist Level,1,1,90.0
92,20241209,9292,1100,99.1,2.08,99.9,97.31,16.76,Top Shelf,1,1,91.0
93,20240422,9634,1089,95.27,2.6,99.0,93.86,18.17,Checkout,1,1,89.0
94,20240706,9636,1050,98.18,1.65,99.9,96.07,15.27,Eye Level,1,1,90.0
95,20240808,9394,1051,96.68,2.86,99.9,93.15,16.32,Eye Level,1,1,89.0
96,20240210,9599,1063,97.35,3.6,99.15,92.76,18.34,Waist Level,1,1,89.0
97,20240608,9953,1142,97.26,4.62,99.41,96.92,11.75,Waist Level,1,1,89.0
98,20240602,9240,1186,98.75,1.75,99.9,99.31,21.72,Top Shelf,0,1,91.0
99,20240921,9981,1098,99.88,2.89,99.9,94.58,11.84,Checkout,1,1,90.0
100,20241022,9091,1063,99.9,1.88,99.9,96.04,20.73,Checkout,1,1,91.0
101,20240620,9490,1104,98.13,2.09,99.9,99.9,14.75,Waist Level,0,1,90.0
102,20241016,9202,1092,98.02,1.5,99.73,97.12,13.31,Eye Level,1,1,90.0
103,20240525,9817,1166,97.21,3.52,99.45,93.24,18.14,Top Shelf,1,1,89.0
104,20240112,9258,1090,96.28,3.03,99.9,94.95,16.76,Eye Level,1,1,89.0
105,20240507,9069,1110,93.55,6.5,96.53,91.71,12.39,Checkout,1,1,87.0
106,20241114,9416,1026,99.69,0.37,99.9,97.02,9.7,Top Shelf,1,1,90.0
107,20241122,9294,1117,94.17,5.23,96.98,93.72,18.96,Waist Level,1,1,88.0
108,20240501,9763,1172,97.83,2.98,99.34,96.26,15.51,Bottom Shelf,1,1,90.0
109,20240520,9367,1059,95.66,4.02,97.72,94.36,17.7,Bottom Shelf,1,1,89.0
110,20241128,9955,1063,97.36,3.61,98.63,91.18,9.2,Top Shelf,1,1,88.0
111,20240720,9382,1056,99.9,0.56,99.9,97.92,15.96,Eye Level,1,1,91.0
112,20241117,9610,1190,99.27,3.27,99.9,99.9,17.22,Top Shelf,1,1,91.0
113,20240624,9240,1082,99.63,1.52,99.9,96.76,13.43,Bottom Shelf,1,1,90.0
114,20240908,9952,1071,98.87,1.51,99.9,96.62,14.01,Waist Level,1,1,90.0
115,20240613,9702,1184,96.17,3.75,99.9,95.67,21.94,Top Shelf,1,1,90.0
116,20240801,9125,1188,92.79,5.99,97.63,92.73,16.64,Waist Level,1,1,87.0
117,20240312,9066,1162,98.07,0.89,99.9,94.84,15.33,Bottom Shelf,1,1,90.0
118,20240806,9977,1162,96.68,3.75,96.96,94.13,10.56,Top Shelf,0,1,87.0
119,20240828,9386,1188,96.94,3.17,99.9,98.31,13.21,Waist Level,1,1,90.0
120,20240125,9515,1013,97.69,2.42,99.9,91.87,22.2,Eye Level,1,1,89.0
121,20240826,9747,1155,91.29,5.67,98.06,92.45,13.66,Waist Level,1,1,86.0
122,20241013,9170,1138,99.9,0.1,99.9,99.9,15.23,Top Shelf,1,1,91.0
123,20240220,9275,1063,95.73,3.9,99.9,91.53,16.6,Checkout,1,1,88.0
124,20240304,9830,1045,99.75,0.26,99.9,98.57,17.4,Waist Level,1,1,91.0
125,20240303,9254,1096,96.82,3.87,99.64,95.19,14.83,Eye Level,1,1,89.0
126,20240203,9529,1190,92.87,7.41,96.82,90.68,16.02,Eye Level,1,1,86.0
127,20240331,9049,1162,96.68,4.35,98.03,91.22,20.62,Top Shelf,1,0,85.0
128,20241204,9193,1192,93.9,5.66,98.74,93.97,24.48,Checkout,1,0,86.0
129,20240611,9904,1050,95.51,3.24,99.71,93.51,16.16,Top Shelf,1,1,89.0
130,20240905,9064,1085,95.48,3.01,98.84,91.32,11.5,Top Shelf,1,1,87.0
131,20240106,9117,1053,97.12,3.29,98.12,93.53,15.33,Waist Level,1,1,89.0
132,20240509,9626,1174,98.26,1.22,99.9,97.32,18.45,Eye Level,1,1,91.0
133,20240129,9160,1136,99.9,0.1,99.9,99.73,11.1,Top Shelf,1,1,91.0
134,20241011,9769,1062,95.98,4.54,97.61,92.98,17.18,Top Shelf,0,1,87.0
135,20240502,9555,1117,94.01,5.82,98.11,94.15,11.68,Eye Level,1,1,88.0
136,20241113,9919,1127,94.19,5.4,96.61,88.59,11.68,Top Shelf,1,1,86.0
137,20241227,9032,1056,97.07,1.98,99.9,95.44,11.21,Checkout,1,1,89.0
138,20241026,9169,1146,95.99,6.14,99.13,92.33,11.89,Top Shelf,1,1,88.0
139,20240128,9092,1064,98.13,0.1,99.9,97.43,16.9,Checkout,1,1,90.0
140,20240621,9073,1153,95.73,4.68,99.9,94.7,18.14,Eye Level,1,0,86.0
141,20241203,9633,1137,97.91,2.35,99.04,96.15,17.15,Eye Level,1,1,90.0
142,20240429,9720,1052,99.71,0.51,99.9,99.42,17.15,Bottom Shelf,1,1,91.0
143,20240603,9521,1124,97.9,3.76,99.9,96.62,8.8,Top Shelf,1,1,89.0
144,20241103,9174,1062,99.0,1.83,99.9,92.83,17.14,Checkout,1,1,90.0
145,20240530,9835,1033,96.44,3.37,99.9,90.97,16.44,Checkout,0,1,87.0
146,20240611,9886,1008,97.25,0.1,99.9,98.65,15.61,Bottom Shelf,1,1,90.0
147,20240606,9291,1053,95.88,3.02,99.9,94.94,15.37,Eye Level,1,1,89.0
148,20240910,9026,1047,99.03,0.94,99.9,97.37,14.35,Eye Level,1,1,90.0
149,20240707,9569,1200,94.87,6.71,97.72,89.95,16.5,Eye Level,1,1,87.0
150,20241008,9345,1164,93.77,5.22,98.9,91.81,16.64,Waist Level,1,1,88.0
151,20240918,9163,1192,96.85,5.53,98.74,93.9,14.28,Waist Level,1,1,89.0
152,20240202,9105,1143,93.26,6.63,99.23,90.24,17.0,Checkout,1,1,87.0
153,20240914,9074,1019,99.33,2.01,99.9,94.67,12.32,Bottom Shelf,1,1,90.0
154,20240428,9497,1105,96.86,4.61,97.45,92.81,10.95,Checkout,0,1,87.0
155,20241107,9687,1108,94.32,6.32,97.69,91.66,13.39,Top Shelf,1,1,87.0
156,20241204,9363,1136,96.25,2.17,97.96,94.17,20.06,Top Shelf,1,1,89.0
157,20241124,9290,1135,99.36,0.1,99.9,99.9,16.04,Checkout,1,1,91.0
158,20240105,9191,1184,93.49,4.97,99.9,94.8,12.1,Waist Level,1,1,88.0
159,20241114,9575,1127,95.96,4.87,97.78,91.23,17.07,Top Shelf,1,1,88.0
160,20240229,9537,1095,97.74,3.9,98.74,94.14,11.59,Waist Level,1,1,89.0
161,20240627,9256,1164,97.8,0.76,99.9,97.36,11.74,Bottom Shelf,1,1,90.0
162,20240521,9658,1146,94.83,4.78,99.35,94.58,13.88,Bottom Shelf,1,1,88.0
163,20241016,9868,1068,97.03,2.66,97.84,96.8,13.55,Top Shelf,1,1,89.0
164,20240828,9206,1063,98.52,2.0,99.9,97.88,14.87,Waist Level,1,1,90.0
165,20240415,9085,1144,92.6,6.72,98.64,90.39,13.55,Top Shelf,1,1,86.0
166,20240622,9210,1186,98.58,1.67,99.9,99.81,13.95,Eye Level,1,1,91.0
167,20240829,9302,1143,95.44,3.99,99.9,97.86,15.22,Checkout,1,1,90.0
168,20240106,9248,1058,97.54,2.26,99.81,93.87,14.8,Eye Level,1,1,89.0
169,20241230,9926,1084,97.87,2.47,99.9,97.74,18.2,Checkout,0,1,90.0
170,20240901,9856,1039,99.9,0.1,99.9,98.2,14.88,Bottom Shelf,1,1,91.0
171,20241001,9737,1023,97.19,3.01,99.9,92.22,16.74,Eye Level,1,1,89.0
172,20240221,9720,1096,98.92,1.3,99.9,99.12,11.06,Bottom Shelf,1,1,91.0
173,20241220,9122,1010,98.36,1.13,99.9,97.05,10.98,Eye Level,1,1,90.0
174,20241019,9899,1154,92.9,6.31,99.33,91.89,14.53,Waist Level,1,1,87.0
175,20240418,9203,1141,96.38,5.25,99.3,95.05,11.12,Top Shelf,1,1,89.0
176,20241011,9414,1138,96.83,3.55,98.45,93.75,19.88,Bottom Shelf,1,0,86.0
177,20240401,9009,1159,92.07,7.68,97.31,90.38,11.39,Bottom Shelf,1,1,86.0
178,20240412,9006,1073,99.9,0.77,99.9,97.94,14.2,Bottom Shelf,1,1,91.0
179,20240630,9536,1008,99.9,0.1,99.9,98.94,11.86,Waist Level,1,1,91.0
180,20240124,9959,1007,94.1,3.99,99.3,90.96,14.61,Eye Level,1,1,87.0
181,20240805,9963,1142,96.13,5.98,99.31,95.25,16.06,Checkout,1,1,89.0
182,20241012,9737,1120,95.76,4.39,99.33,93.64,18.23,Eye Level,1,1,89.0
183,20240213,9704,1120,94.38,4.74,97.96,93.56,17.48,Bottom Shelf,1,1,88.0
184,20240825,9995,1005,97.48,2.82,99.9,92.89,14.32,Top Shelf,1,1,89.0
185,20240721,9429,1151,93.28,7.15,99.17,91.74,16.19,Top Shelf,1,1,87.0
186,20240926,9890,1018,99.43,0.1,99.9,96.94,19.07,Checkout,1,1,91.0
187,20240111,9096,1055,99.14,0.23,99.9,98.39,13.37,Eye Level,1,1,91.0
188,20240227,9914,1141,95.21,5.17,98.75,91.11,16.01,Checkout,1,1,88.0
189,20240309,9966,1070,99.9,0.1,99.9,99.66,18.37,Bottom Shelf,1,1,92.0
190,20240623,9430,1067,99.9,0.1,99.9,99.39,12.01,Top Shelf,1,1,91.0
191,20240627,9281,1077,99.82,1.12,99.9,97.11,10.23,Top Shelf,1,1,90.0
192,20241203,9716,1014,99.9,0.1,99.9,98.49,17.99,Top Shelf,1,0,88.0
193,20240108,9624,1092,96.32,4.48,98.65,92.9,21.03,Checkout,1,1,89.0
194,20240310,9473,1157,96.83,4.86,99.9,96.7,13.95,Waist Level,1,1,90.0
195,20240702,9909,1082,92.06,6.01,98.16,92.11,13.33,Bottom Shelf,1,1,87.0
196,20240902,9737,1180,96.12,3.18,97.55,93.38,14.13,Checkout,1,1,88.0
197,20240626,9485,1119,94.9,6.76,96.81,93.41,11.81,Checkout,1,1,87.0
198,20241101,9530,1014,99.9,0.1,99.9,99.9,17.71,Eye Level,1,1,92.0
199,20240403,9755,1060,96.33,5.4,98.88,90.45,15.57,Eye Level,1,1,88.0
200,20240321,9462,1080,99.56,1.15,99.9,98.38,14.21,Waist Level,1,1,91.0
201,20240103,9877,1175,95.37,3.68,98.29,90.77,11.98,Checkout,1,1,87.0
202,20240116,9612,1004,99.9,0.1,99.9,97.33,8.42,Bottom Shelf,1,1,90.0
203,20241017,9885,1021,95.78,3.18,99.9,90.27,11.39,Eye Level,1,1,87.0
204,20240704,9069,1047,93.02,4.82,97.75,92.03,12.78,Bottom Shelf,1,1,87.0
205,20240621,9592,1109,94.67,3.34,99.9,97.46,15.7,Bottom Shelf,1,0,86.0
206,20240512,9253,1172,97.93,2.32,99.9,94.5,16.58,Eye Level,1,0,87.0
207,20241214,9894,1153,97.0,4.66,99.27,94.48,11.07,Checkout,1,1,89.0
208,20240413,9553,1073,98.34,2.82,99.9,94.89,11.56,Checkout,1,1,89.0
209,20240215,9380,1072,98.96,0.1,99.9,98.77,15.96,Waist Level,1,1,91.0
210,20241102,9487,1100,97.46,4.05,97.26,93.18,12.01,Checkout,1,1,88.0
211,20241104,9567,1052,97.91,3.26,97.56,93.78,17.38,Checkout,1,1,89.0
212,20241202,9537,1125,96.2,3.57,98.12,93.69,14.99,Eye Level,1,1,88.0
213,20240304,9182,1047,98.87,1.23,99.9,97.71,17.11,Eye Level,0,1,90.0
214,20240924,9758,1159,95.85,5.35,99.42,93.2,14.21,Waist Level,1,1,88.0
215,20240722,9973,1027,97.63,1.89,99.9,95.1,14.99,Top Shelf,0,1,89.0
216,20241212,9535,1014,97.68,3.07,99.54,93.25,17.61,Eye Level,1,1,89.0
217,20241204,9219,1094,94.12,6.25,96.31,89.9,16.5,Eye Level,1,1,87.0
218,20240516,9295,1075,95.78,3.83,99.44,91.56,11.09,Bottom Shelf,1,1,88.0
219,20240303,9163,1035,98.06,1.43,99.9,95.05,17.04,Eye Level,1,0,87.0
220,20240728,9427,1150,94.46,4.35,99.86,92.47,18.89,Bottom Shelf,1,1,88.0
221,20241119,9205,1164,96.09,4.28,99.58,92.08,16.69,Checkout,1,1,88.0
222,20240822,9667,1149,92.76,5.33,98.48,93.43,11.5,Eye Level,1,1,87.0
223,20240520,9372,1082,97.76,2.94,99.42,96.0,11.37,Bottom Shelf,1,1,89.0
224,20240918,9524,1190,94.22,4.84,95.97,92.58,13.85,Waist Level,0,1,86.0
225,20240506,9009,1092,93.47,5.14,98.49,90.55,16.47,Top Shelf,1,1,87.0
226,20240126,9572,1151,97.51,3.97,99.9,95.79,13.22,Eye Level,1,1,90.0
227,20240410,9310,1074,99.9,0.1,99.9,99.9,8.23,Eye Level,1,1,91.0
228,20241022,9199,1194,90.61,7.61,98.36,92.21,15.08,Waist Level,1,1,86.0
229,20240125,9520,1083,99.76,1.27,99.9,99.9,14.85,Eye Level,1,1,91.0
230,20240526,9316,1082,99.38,1.75,99.9,98.88,12.12,Waist Level,0,1,90.0
231,20240530,9224,1114,94.49,4.76,98.4,93.4,11.43,Top Shelf,1,1,88.0
232,20241107,9479,1197,91.53,8.16,95.92,91.24,12.23,Top Shelf,1,1,86.0
233,20240429,9123,1161,98.25,2.75,99.1,95.31,18.5,Top Shelf,1,0,87.0
234,20241024,9074,1140,95.93,3.66,99.54,93.34,12.47,Bottom Shelf,1,1,88.0
235,20241024,9796,1111,97.98,3.19,99.9,97.79,13.25,Checkout,1,1,90.0
236,20240321,9067,1085,93.69,3.61,96.98,92.62,16.18,Eye Level,1,1,87.0
237,20240324,9852,1113,99.31,3.21,99.9,96.39,18.44,Bottom Shelf,1,1,91.0
238,20240207,9611,1188,96.62,4.46,99.9,98.1,11.84,Top Shelf,1,0,87.0
239,20241115,9614,1095,96.86,3.34,99.9,94.63,13.42,Top Shelf,1,1,89.0
240,20240206,9767,1021,96.98,3.19,99.9,92.3,15.03,Bottom Shelf,1,1,89.0
241,20240714,9347,1064,97.83,3.46,99.82,94.06,12.14,Checkout,1,1,89.0
242,20240304,9555,1050,94.95,4.52,99.26,91.87,14.15,Top Shelf,1,1,88.0
243,20240529,9178,1174,97.98,3.11,97.9,93.02,10.91,Bottom Shelf,1,1,88.0
244,20240609,9439,1159,92.71,5.87,97.97,91.9,19.43,Eye Level,1,0,84.0
245,20241225,9706,1166,97.91,1.13,99.9,99.47,15.98,Top Shelf,1,1,91.0
246,20240321,9535,1045,95.75,4.2,99.6,91.87,10.55,Bottom Shelf,1,1,88.0
247,20241221,9101,1098,98.44,1.35,99.9,97.35,11.98,Waist Level,1,1,90.0
248,20240108,9485,1171,95.19,4.51,97.4,93.2,13.06,Eye Level,1,1,88.0
249,20240606,9846,1159,96.95,2.69,99.9,98.12,15.62,Top Shelf,1,1,90.0
250,20240512,9031,1045,96.56,1.73,99.9,95.91,12.43,Eye Level,1,1,89.0
251,20240517,9641,1111,94.9,4.13,98.92,94.19,15.41,Waist Level,1,1,88.0
252,20240127,9779,1159,94.76,6.06,98.01,92.28,10.06,Eye Level,1,1,87.0
253,20240808,9579,1190,92.62,7.51,95.67,92.54,14.16,Waist Level,1,1,86.0
254,20241228,9462,1112,95.53,2.54,99.9,96.83,13.68,Bottom Shelf,1,1,89.0
255,20240719,9694,1128,96.8,2.83,98.46,93.9,19.21,Bottom Shelf,1,1,89.0
256,20240416,9014,1048,94.85,3.86,98.27,92.59,19.76,Checkout,1,1,88.0
257,20240419,9709,1077,95.4,4.81,99.12,89.77,19.74,Top Shelf,1,1,88.0
258,20241008,9860,1153,97.09,2.48,99.9,98.46,16.98,Waist Level,1,1,90.0
259,20241113,9059,1153,93.21,6.6,98.06,90.82,21.43,Checkout,1,1,87.0
260,20241227,9489,1183,91.95,8.21,97.69,91.31,16.43,Waist Level,1,1,87.0
261,20240326,9608,1175,97.81,3.33,98.37,96.04,13.04,Top Shelf,1,1,89.0
262,20240911,9181,1085,96.73,2.3,98.7,92.68,13.07,Top Shelf,1,1,88.0
263,20241022,9354,1008,98.3,1.8,99.9,94.11,16.65,Eye Level,1,1,90.0
264,20241001,9220,1035,99.65,0.1,99.9,97.56,14.74,Bottom Shelf,1,1,91.0
265,20240219,9332,1025,97.41,1.07,99.9,96.91,13.62,Checkout,1,1,90.0
266,20241014,9879,1051,93.46,5.51,98.1,92.07,15.4,Top Shelf,1,1,87.0
267,20240124,9644,1091,94.9,3.37,98.42,94.52,22.6,Waist Level,1,1,89.0
268,20240712,9823,1081,96.83,2.55,99.43,95.23,17.64,Top Shelf,1,1,90.0
269,20240813,9985,1173,96.54,3.97,98.84,91.68,15.93,Bottom Shelf,1,1,88.0
270,20240703,9492,1193,94.89,4.22,99.85,95.84,15.88,Bottom Shelf,1,1,89.0
271,20240506,9310,1034,99.47,0.1,99.9,98.19,15.09,Top Shelf,1,1,91.0
272,20241220,9708,1169,96.93,3.05,99.62,94.12,20.7,Top Shelf,1,1,90.0
273,20241221,9742,1074,99.86,0.6,99.9,98.02,9.35,Eye Level,1,1,90.0
274,20240103,9309,1136,93.56,4.31,97.95,90.96,18.5,Top Shelf,1,1,87.0
275,20240607,9647,1171,96.05,3.51,99.86,91.76,17.31,Top Shelf,1,1,88.0
276,20240601,9388,1200,94.64,5.51,98.47,94.55,11.4,Top Shelf,1,1,88.0
277,20240718,9096,1172,99.08,0.68,99.9,98.44,14.66,Top Shelf,1,1,91.0
278,20240103,9151,1027,99.53,1.07,99.9,95.21,6.58,Checkout,1,1,89.0
279,20240828,9268,1041,96.28,3.24,99.17,95.57,16.45,Top Shelf,0,1,88.0
280,20241011,9929,1035,96.22,4.52,98.48,92.52,16.78,Top Shelf,1,1,88.0
281,20240430,9864,1087,95.61,3.34,98.99,94.28,16.93,Eye Level,1,1,89.0
282,20240925,9463,1149,95.06,4.81,99.9,95.36,12.12,Checkout,1,1,89.0
283,20240812,9184,1159,95.18,4.8,99.9,94.67,15.68,Eye Level,1,0,86.0
284,20240123,9400,1178,99.9,0.1,99.9,99.03,12.08,Top Shelf,1,1,91.0
285,20241110,9616,1181,97.97,2.95,99.9,99.4,14.41,Waist Level,1,1,91.0
286,20240601,9185,1054,98.1,5.28,99.34,92.81,14.07,Top Shelf,1,1,89.0
287,20240223,9020,1090,97.4,0.75,99.9,98.81,16.1,Bottom Shelf,1,1,91.0
288,20240322,9087,1092,94.99,4.05,98.62,93.33,13.32,Bottom Shelf,1,1,88.0
289,20240314,9261,1059,97.86,2.7,99.9,97.0,15.6,Checkout,0,1,89.0
290,20241122,9090,1122,99.6,0.1,99.9,97.6,12.74,Top Shelf,1,1,91.0
291,20240722,9103,1066,97.3,1.92,99.9,96.07,13.68,Eye Level,0,1,89.0
292,20241127,9596,1161,99.5,0.1,99.9,98.57,16.61,Waist Level,1,1,91.0
293,20241230,9584,1086,96.45,4.77,99.15,93.71,17.68,Top Shelf,1,1,89.0
294,20241205,9167,1149,93.41,5.69,98.21,93.05,10.77,Checkout,1,0,84.0
295,20240805,9544,1078,96.13,2.26,99.67,93.85,14.83,Top Shelf,1,1,89.0
