HR_ID,DateKey,EmployeeID,Hours_Worked,Overtime_Hours,Absenteeism_Days,Productivity_Score,Training_Hours,Employee_Satisfaction_Score,Turnover_Risk_Score,Performance_Rating,Salary,Benefits_Cost,Efficiency_Ratio,Projects_Completed,Promotion_Eligibility,High_Potential
40,20240101,1562,155.47,0.0,1.8,92.53,25.01,90.38,0.0,4,128409,2845.5,0.93,1,0,1
41,20240101,1663,162.63,0.0,1.5,86.85,27.38,78.48,0.0,3,173741,4639.76,1.13,3,0,1
42,20240101,1660,132.96,0.0,2.1,84.01,7.77,76.95,9.79,3,49006,1573.0,0.96,4,0,0
43,20240101,1568,148.66,0.0,1.4,85.24,23.47,80.96,0.0,3,132361,4230.6,0.89,5,0,1
44,20240101,1687,157.07,0.0,1.4,86.58,28.6,85.77,0.0,3,191846,5615.82,0.89,7,0,0
45,20240101,1449,132.91,0.0,2.9,80.7,14.47,78.79,7.94,3,57006,1872.17,0.82,2,1,1
46,20240101,1394,152.91,0.0,2.4,92.71,20.27,87.74,0.0,4,115789,2593.93,0.81,9,1,1
47,20240101,1632,188.02,6.13,1.1,91.39,38.79,94.11,0.0,4,350000,9197.38,1.16,3,0,1
48,20240101,1467,133.52,0.0,2.4,83.86,11.08,92.66,0.91,3,58456,1825.81,0.82,6,1,0
49,20240101,1320,180.9,10.3,1.0,90.26,32.27,89.19,0.0,4,291438,7804.84,1.18,6,0,0
50,20240101,1796,140.77,0.0,2.6,88.17,18.86,83.04,0.0,3,121126,3550.62,0.95,9,0,1
51,20240101,1647,148.31,0.0,2.2,86.34,17.2,94.74,0.0,3,90355,2530.49,0.97,8,0,1
52,20240101,1704,186.03,0.0,0.8,96.26,25.35,91.89,4.5,5,181546,4264.26,1.12,9,1,0
53,20240101,1377,132.85,0.0,3.1,82.9,16.93,80.74,1.68,3,98809,2168.87,1.13,10,1,1
54,20240101,1569,132.72,0.0,1.8,88.4,13.13,87.73,4.5,3,85133,2353.2,0.87,1,0,0
55,20240101,1480,147.42,0.0,2.2,83.36,10.51,92.48,10.31,3,59634,1951.34,0.85,6,0,1
56,20240101,1451,187.55,0.0,0.5,90.46,38.42,75.25,0.0,4,496685,11626.25,0.8,6,0,1
57,20240101,1678,153.13,0.0,2.2,81.92,7.58,92.43,2.46,3,79360,1907.22,0.93,8,0,1
58,20240101,1637,199.66,0.0,0.4,92.85,33.52,87.97,0.0,4,458221,11966.91,1.0,7,1,0
59,20240101,1414,141.03,0.0,3.9,81.57,12.86,79.18,2.74,3,62544,2080.63,1.02,5,1,0
60,20240101,1436,139.43,0.0,2.5,87.4,18.02,80.04,0.0,3,123095,3835.55,0.88,4,0,1
61,20240101,1512,170.37,8.6,1.2,95.68,23.62,85.18,0.0,5,283730,6666.84,1.03,8,1,0
62,20240101,1387,175.19,12.71,1.5,85.42,30.25,88.13,0.0,3,187000,6134.32,1.07,8,1,1
63,20240101,1598,141.0,0.0,2.2,89.4,14.72,83.69,0.0,3,105453,3149.71,1.18,4,1,1
64,20240101,1716,186.42,0.0,1.1,96.55,34.25,75.14,0.0,5,319152,7220.74,1.08,8,0,0
65,20240101,1333,177.64,0.0,1.3,93.1,27.52,87.74,0.0,4,160794,5234.58,0.81,6,1,0
66,20240101,1711,159.65,0.0,1.8,88.91,27.4,92.63,0.0,3,143484,3537.7,0.91,6,1,1
67,20240101,1623,139.65,0.0,2.7,89.93,15.9,82.02,0.0,3,83582,1827.17,0.85,7,0,1
68,20240101,1578,168.28,0.0,1.3,88.95,33.65,83.81,0.0,3,298946,6982.98,1.18,8,0,1
69,20240101,1698,184.19,0.0,1.1,90.75,24.99,79.47,0.0,4,191613,6298.16,0.81,7,0,1
70,20240101,1606,136.83,0.0,3.2,82.28,8.86,94.25,2.18,3,52591,1587.57,0.99,5,0,0
71,20240101,1719,162.72,0.0,2.1,88.18,11.23,90.06,4.5,3,98086,3267.01,0.94,4,1,1
72,20240101,1621,165.67,0.0,1.4,89.52,17.96,83.78,0.0,3,123918,3630.17,1.0,6,1,0
73,20240101,1393,164.75,0.0,1.4,86.44,22.75,85.49,0.0,3,125205,3084.03,0.98,5,1,1
74,20240101,1543,149.95,0.0,1.1,86.67,23.18,91.66,0.0,3,196368,4880.55,1.06,9,0,1
75,20240101,1454,152.18,0.0,2.2,87.38,25.21,77.15,0.0,3,144511,3631.67,1.18,2,0,0
76,20240101,1503,137.67,0.0,1.8,80.6,14.58,94.41,3.52,3,59950,1934.33,0.91,4,1,0
77,20240101,1561,162.02,0.0,1.5,85.73,26.48,84.06,0.0,3,132537,2952.37,1.16,1,1,0
78,20240101,1594,151.09,0.0,2.2,81.46,9.42,76.26,2.83,3,63971,1903.91,1.12,10,1,1
79,20240101,1314,186.81,0.0,0.9,90.07,29.45,93.22,4.5,4,252697,8220.07,0.88,10,0,1
80,20240101,1489,161.26,0.0,1.2,89.09,19.86,88.61,0.0,3,145903,4599.1,0.94,6,1,0
81,20240101,1610,165.34,0.0,1.8,92.14,19.24,94.26,0.0,4,112919,3377.75,0.83,5,1,1
82,20240101,1536,173.75,0.0,1.3,95.35,23.58,77.68,0.0,5,280364,6886.61,0.84,8,0,0
83,20240101,1490,156.69,0.0,2.3,86.16,16.48,85.04,0.0,3,81323,1961.4,1.2,7,1,0
84,20240101,1799,192.13,0.0,0.6,90.42,32.22,86.6,0.0,4,383241,9479.57,1.04,3,1,0
85,20240101,1616,141.65,0.0,1.7,87.64,25.93,81.34,0.0,3,118111,2644.94,0.92,7,1,1
86,20240101,1447,172.36,0.0,1.7,90.01,17.85,88.18,0.0,4,198273,4578.5,1.19,3,0,1
87,20240101,1445,197.29,0.0,0.6,96.39,33.81,86.31,0.0,5,463019,15038.69,1.2,10,0,0
88,20240101,1315,165.45,0.0,1.5,91.02,18.04,90.87,9.0,4,144573,4266.64,0.88,5,1,1
89,20240101,1511,204.1,0.0,0.6,92.17,36.99,80.35,0.0,4,382326,12278.28,0.91,9,0,0
90,20240101,1645,145.75,0.0,1.8,92.19,28.72,76.28,9.0,4,143194,4708.3,1.19,3,1,1
91,20240101,1742,161.74,0.0,1.8,90.83,18.41,78.23,0.0,4,110969,2315.17,0.92,8,0,0
92,20240101,1399,149.06,0.0,1.2,92.85,18.96,89.36,0.0,4,113296,3353.29,1.05,9,1,0
93,20240101,1670,155.64,17.09,1.7,84.72,15.31,90.79,0.22,3,147337,3392.99,1.0,1,0,1
94,20240101,1617,155.14,0.0,2.8,84.94,13.04,87.23,0.05,3,96705,3183.31,1.07,6,1,0
95,20240101,1738,146.23,0.0,2.5,85.04,11.77,87.23,0.0,3,78656,1834.8,0.84,4,0,0
96,20240101,1589,200.08,10.12,0.5,92.03,29.36,89.47,0.0,4,454697,12978.09,1.18,8,0,1
97,20240101,1522,150.33,0.0,3.5,85.39,9.27,85.87,0.0,3,49258,1309.91,1.1,10,0,1
98,20240101,1540,155.57,0.0,2.3,82.05,8.32,88.21,11.36,3,59829,1279.76,0.83,8,0,0
99,20240101,1391,207.46,0.0,0.6,97.99,47.46,80.14,0.0,5,430837,10803.14,1.13,4,0,1
100,20240101,1347,148.64,0.0,2.6,88.32,17.01,87.45,0.0,3,79706,2099.35,0.81,4,0,1
101,20240201,1369,173.21,0.0,1.3,92.26,31.16,77.75,0.0,4,106509,2885.53,0.85,7,1,0
102,20240201,1649,199.06,0.0,0.6,98.22,32.11,79.45,0.0,5,395059,11702.66,0.97,2,0,0
103,20240201,1452,166.95,9.63,0.9,90.62,34.85,89.65,0.0,4,257899,5468.04,1.17,9,1,0
104,20240201,1772,164.63,0.0,2.0,87.16,20.51,78.71,0.0,3,124257,3290.66,0.85,10,0,0
105,20240201,1428,187.26,0.0,1.3,90.65,33.96,88.86,0.0,4,268060,5908.33,0.94,2,1,0
106,20240201,1397,191.94,0.0,0.6,95.05,50.28,77.62,0.0,5,465927,14091.45,1.01,7,1,1
107,20240201,1343,186.27,0.0,0.4,98.38,48.04,93.96,0.0,5,352303,8988.34,1.09,7,1,1
108,20240201,1438,151.03,0.0,3.1,80.53,11.67,80.77,3.58,3,42311,1120.3,0.96,9,0,1
109,20240201,1639,154.51,0.0,1.8,94.17,20.15,80.49,0.0,4,136405,4489.32,0.87,9,0,0
110,20240201,1615,160.88,0.0,1.5,91.16,26.03,87.79,9.0,4,107920,3534.98,1.05,3,0,0
111,20240201,1359,160.29,0.0,2.8,85.57,14.46,78.72,4.5,3,94969,2049.07,1.13,7,0,0
112,20240201,1626,190.26,0.0,0.8,94.75,33.77,82.52,0.0,4,230740,5975.84,0.88,9,1,1
113,20240201,1607,205.31,0.0,0.6,99.3,30.0,76.38,0.0,5,463451,13388.44,1.17,10,1,1
114,20240201,1643,204.47,0.0,0.5,92.79,40.4,93.72,0.0,4,359950,8159.07,1.0,9,1,0
115,20240201,1332,181.42,0.0,1.1,91.1,26.29,85.5,0.0,4,197755,4123.38,0.83,5,1,0
116,20240201,1729,154.8,10.81,1.9,92.88,31.13,76.46,0.0,4,177523,5254.14,0.95,9,0,1
117,20240201,1500,168.92,0.0,1.2,92.71,30.18,88.54,0.0,4,336785,9812.71,1.14,5,1,0
118,20240201,1568,143.24,0.0,1.6,84.67,25.51,91.53,0.26,3,132841,3782.18,0.95,2,1,0
119,20240201,1387,151.68,11.56,1.3,89.0,25.11,93.1,0.0,3,189908,5872.79,1.1,4,1,0
120,20240201,1399,162.78,0.0,1.2,87.88,32.08,90.9,0.0,3,196859,4333.2,1.14,3,0,1
121,20240201,1555,178.38,0.0,1.6,90.23,25.8,78.66,9.0,4,123734,3975.86,0.93,6,1,0
122,20240201,1549,157.28,14.34,1.5,86.21,25.45,80.51,0.0,3,116309,3822.08,0.98,4,0,1
123,20240201,1761,137.88,0.0,2.3,88.61,16.27,89.67,0.0,3,56198,1489.7,1.16,7,0,1
124,20240201,1653,137.26,0.0,1.8,82.16,14.23,80.03,2.27,3,56014,1712.34,1.06,1,0,0
125,20240201,1736,168.96,7.07,2.5,89.63,21.09,89.25,0.0,3,145751,4013.03,1.07,5,0,1
126,20240201,1423,180.9,0.0,1.3,91.17,27.1,94.6,0.0,4,183386,4365.06,0.88,6,0,1
127,20240201,1433,204.76,0.0,0.4,93.18,48.0,85.42,0.0,4,490593,16036.26,1.11,1,1,0
128,20240201,1330,138.37,0.0,3.1,83.85,7.91,87.1,9.92,3,51982,1412.49,0.82,5,0,1
129,20240201,1363,174.53,0.0,1.7,85.86,20.21,83.81,0.0,3,194550,4377.0,1.06,3,1,1
130,20240201,1383,160.05,15.97,2.7,84.79,14.32,82.78,0.17,3,56999,1538.52,1.03,7,1,1
131,20240201,1712,152.5,0.0,2.1,91.24,23.0,93.58,0.0,4,94469,2581.97,0.91,2,1,1
132,20240201,1742,168.92,0.0,1.6,89.4,16.61,75.39,0.0,3,141653,3428.32,0.82,8,1,1
133,20240201,1734,166.08,0.0,1.1,88.84,29.39,75.04,4.5,3,327154,9927.25,1.14,4,0,0
134,20240201,1475,196.22,0.0,0.4,97.47,31.79,87.75,0.0,5,405985,11939.42,1.08,5,1,1
135,20240201,1308,159.81,0.0,0.8,91.72,29.53,91.93,0.0,4,281310,6446.56,1.16,7,0,0
136,20240201,1517,175.81,0.0,0.6,95.74,46.09,85.78,0.0,5,321329,7172.21,0.83,2,0,1
137,20240201,1589,176.13,0.0,0.6,98.4,30.8,93.05,0.0,5,474200,14861.46,1.18,3,1,0
138,20240201,1371,144.65,0.0,2.7,85.42,11.48,85.1,0.0,3,59221,1717.71,0.88,2,0,0
139,20240201,1480,153.51,0.0,3.0,83.54,9.59,84.81,10.17,3,46259,1115.73,1.03,10,0,1
140,20240201,1787,205.44,0.0,0.5,92.17,30.51,85.61,0.0,4,454831,14775.16,0.86,7,1,0
141,20240201,1570,132.59,0.0,3.4,83.26,11.8,80.47,10.39,3,47701,1188.77,1.17,9,1,1
142,20240201,1669,166.8,0.0,1.4,90.39,22.26,77.76,0.0,4,112614,2501.94,1.13,10,0,1
143,20240201,1331,180.0,0.0,0.4,92.91,40.8,81.11,0.0,4,355418,7453.6,1.04,6,0,1
144,20240201,1461,147.2,0.0,3.2,89.85,14.55,93.9,0.0,3,61105,1591.9,1.08,1,1,0
145,20240201,1381,177.96,0.0,1.4,85.15,22.31,85.28,0.0,3,152124,3273.76,0.81,1,1,0
146,20240201,1468,131.96,0.0,2.3,83.54,8.85,82.06,1.17,3,67309,1463.36,0.9,8,0,0
147,20240201,1763,187.89,16.2,0.4,90.84,36.26,76.53,0.0,4,461662,13853.56,1.12,9,1,1
148,20240201,1543,173.88,0.0,1.6,89.14,22.54,93.39,0.0,3,125821,3984.78,0.94,5,1,1
149,20240201,1320,172.81,0.0,0.8,96.05,25.55,89.73,0.0,5,271088,8027.41,0.98,3,0,0
150,20240201,1624,158.71,0.0,2.3,82.57,8.6,87.56,1.94,3,72053,1632.64,0.95,6,0,1
151,20240201,1689,157.33,0.0,3.0,88.46,14.44,79.22,4.5,3,99283,3103.15,0.94,10,1,1
152,20240201,1663,151.5,0.0,1.8,93.66,19.45,95.0,0.0,4,128924,3562.46,0.85,5,1,0
153,20240201,1356,180.78,0.0,1.1,96.92,22.76,86.33,0.0,5,272407,7214.88,0.9,10,1,1
154,20240201,1392,177.48,0.0,1.0,89.92,27.16,89.14,0.0,3,188304,4536.01,1.04,10,0,1
155,20240201,1446,160.52,0.0,1.3,91.27,37.8,85.22,0.0,4,348321,10198.27,0.99,2,0,1
156,20240201,1368,157.32,0.0,0.8,88.08,32.3,85.7,0.0,3,340755,11210.45,1.09,8,0,0
157,20240201,1740,184.51,0.0,1.3,87.25,26.75,94.71,0.0,3,205787,4561.7,0.8,1,1,1
158,20240201,1711,176.25,0.0,1.8,91.93,18.89,91.65,0.0,4,151009,3527.92,0.89,5,0,1
159,20240201,1340,163.94,0.0,1.6,85.87,17.6,80.25,0.0,3,131232,3160.48,1.07,3,0,1
160,20240201,1436,145.96,0.0,2.0,85.14,22.62,77.26,0.0,3,110495,3182.89,0.86,2,0,0
161,20240201,1673,191.5,0.0,0.5,94.02,36.32,85.65,0.0,4,441570,10187.75,1.12,1,1,1
162,20240201,1670,145.24,0.0,2.5,91.66,25.5,79.3,0.0,4,126218,3809.1,1.13,2,1,0
163,20240201,1534,155.54,0.0,2.9,82.09,12.44,94.68,2.33,3,50094,1622.82,1.14,6,0,1
164,20240201,1451,187.61,0.0,0.4,95.03,44.43,89.6,0.0,5,394844,9887.35,1.04,3,0,0
165,20240201,1633,154.73,0.0,1.7,87.44,26.75,78.38,0.0,3,156434,4885.71,1.19,6,1,0
166,20240201,1350,164.69,0.0,1.1,94.33,34.9,90.0,0.0,4,241821,7930.18,0.96,8,1,1
167,20240201,1722,169.78,0.0,1.0,92.35,22.81,82.09,0.0,4,289745,8091.86,1.01,10,0,0
168,20240201,1323,144.37,15.22,2.2,80.72,11.63,84.12,3.42,3,58179,1325.34,0.9,1,0,1
169,20240201,1796,143.15,0.0,1.9,92.18,23.5,81.57,0.0,4,99256,3086.08,0.91,9,1,0
170,20240201,1635,148.07,16.91,1.9,87.08,18.56,91.85,0.0,3,99014,2595.01,1.09,7,1,1
171,20240201,1573,172.81,0.0,1.2,92.61,25.27,91.26,0.0,4,151945,5011.32,1.08,8,0,0
172,20240201,1379,211.41,0.0,0.6,97.48,46.42,78.97,0.0,5,358328,11116.53,0.94,6,0,0
173,20240201,1741,163.76,0.0,1.4,86.02,25.0,92.21,0.0,3,118533,3326.19,0.88,7,0,0
174,20240201,1491,140.66,0.0,2.5,82.73,11.54,92.25,1.82,3,80479,2544.55,1.03,9,0,0
175,20240201,1667,199.92,0.0,0.6,97.07,47.5,86.93,0.0,5,401924,11822.1,1.16,10,0,1
176,20240201,1471,172.26,0.0,1.8,92.01,24.5,90.72,0.0,4,118445,2749.93,0.98,1,1,0
177,20240201,1496,170.97,11.6,1.7,90.65,23.56,91.09,0.0,4,96629,2094.34,0.94,10,1,1
178,20240201,1388,161.66,0.0,2.0,86.37,18.05,91.28,0.0,3,86048,2001.68,1.03,9,0,1
179,20240201,1403,174.91,13.05,0.5,91.01,41.12,92.59,0.0,4,485415,15129.55,1.09,9,0,0
180,20240201,1531,171.44,0.0,1.6,89.52,23.91,91.25,0.0,3,152984,3634.46,1.17,6,0,0
181,20240201,1313,207.85,0.0,0.6,99.6,43.1,94.54,0.0,5,446038,14543.79,1.01,10,0,0
182,20240201,1485,149.2,11.25,2.7,87.62,11.42,83.49,0.0,3,66185,1817.6,1.16,9,0,1
183,20240201,1536,172.05,0.0,1.2,91.4,35.41,83.1,0.0,4,207159,4873.65,1.05,1,0,0
184,20240201,1474,138.28,0.0,3.9,85.0,10.24,80.8,0.0,3,54249,1719.07,1.1,4,0,0
185,20240201,1732,133.79,0.0,3.6,86.44,9.41,84.27,0.0,3,40975,857.58,1.13,1,0,0
186,20240201,1424,145.16,0.0,1.9,90.36,15.65,92.51,0.0,4,115971,2752.74,0.88,2,0,0
187,20240201,1699,163.01,18.33,1.2,92.1,23.39,89.64,0.0,4,111479,2869.59,0.86,9,1,0
188,20240201,1432,146.01,9.38,3.2,80.33,10.7,89.82,3.74,3,62683,1724.11,1.15,5,0,1
189,20240201,1748,170.38,7.67,1.4,89.69,17.77,93.81,0.0,3,81439,1947.71,0.97,3,1,1
190,20240201,1311,160.93,0.0,2.2,89.86,13.91,78.07,0.0,3,79919,1666.54,1.07,4,1,1
191,20240201,1798,158.72,0.0,2.4,82.7,12.4,87.59,1.84,3,73017,1597.94,0.89,9,0,0
192,20240201,1642,149.96,7.38,2.7,77.08,10.16,81.08,6.34,2,46232,1047.36,0.92,4,0,0
193,20240201,1578,171.56,0.0,1.0,90.27,22.99,85.22,0.0,4,293067,9627.81,0.92,3,1,1
194,20240201,1797,145.44,0.0,2.6,88.23,16.32,79.68,0.0,3,66139,2188.09,1.15,7,0,0
195,20240201,1601,204.86,0.0,0.5,93.3,37.92,77.56,0.0,4,452645,11992.03,1.04,4,0,0
196,20240201,1585,151.26,0.0,1.8,94.74,26.65,76.43,9.0,4,128892,3214.8,0.84,3,1,0
197,20240201,1409,177.04,0.0,0.4,91.28,50.06,75.73,0.0,4,354091,10417.67,1.13,5,0,0
198,20240201,1637,213.91,0.0,0.4,94.52,47.12,81.41,0.0,4,474205,14968.64,0.98,5,0,0
199,20240201,1447,178.29,0.0,1.4,92.97,24.0,78.85,0.0,4,156265,5143.04,0.98,3,0,1
200,20240201,1719,153.62,0.0,2.3,88.01,10.92,81.73,4.5,3,76417,1631.83,0.88,5,0,0
201,20240301,1740,189.17,0.0,1.0,96.28,35.08,84.42,0.0,5,323747,9846.97,1.13,9,0,0
202,20240301,1553,214.72,0.0,0.4,93.75,34.27,92.05,0.0,4,492478,14137.13,1.06,2,1,0
203,20240301,1343,204.08,0.0,0.5,94.41,36.92,77.79,0.0,4,497343,16321.47,0.94,4,1,0
204,20240301,1525,165.88,0.0,1.8,93.26,30.73,78.86,9.0,4,121994,3842.57,0.89,1,0,0
205,20240301,1412,167.2,0.0,1.8,85.66,24.1,82.55,0.0,3,126456,3339.52,0.92,6,0,1
206,20240301,1334,175.81,18.38,1.7,86.28,18.73,90.31,0.0,3,86482,2363.25,1.07,7,0,0
207,20240301,1550,170.03,0.0,1.9,90.92,15.61,87.28,0.0,4,129457,3020.48,1.17,8,1,0
208,20240301,1423,165.74,0.0,1.5,86.1,20.97,75.88,0.0,3,137442,3960.13,0.94,1,1,0
209,20240301,1641,163.93,0.0,2.2,87.27,19.22,89.57,0.0,3,61701,1634.72,1.15,10,0,1
210,20240301,1465,179.68,0.0,1.3,85.98,22.22,82.87,9.0,3,118493,2653.57,0.93,7,0,1
211,20240301,1341,147.99,0.0,2.6,83.6,18.64,87.83,1.12,3,57448,1576.68,1.18,2,1,1
212,20240301,1654,148.99,0.0,2.5,78.95,11.78,82.85,4.84,2,43769,1033.43,1.05,10,1,1
213,20240301,1313,190.09,0.0,0.6,97.9,32.41,87.04,0.0,5,302779,8889.88,1.13,1,1,0
214,20240301,1700,153.49,0.0,1.9,92.37,15.45,82.76,0.0,4,96920,3115.62,0.84,9,0,0
215,20240301,1505,220.0,0.0,0.4,98.47,45.0,85.68,0.0,5,376646,10056.33,1.07,8,1,1
216,20240301,1351,183.5,0.0,1.2,85.53,32.19,90.26,0.0,3,121084,2960.98,0.95,5,0,0
217,20240301,1405,177.27,0.0,1.8,88.14,30.35,79.74,9.0,3,162396,4593.68,1.2,4,1,0
218,20240301,1416,178.95,0.0,1.3,95.47,35.28,92.7,0.0,5,192553,5107.38,0.81,3,1,0
219,20240301,1731,149.48,0.0,1.8,83.34,18.99,93.53,1.33,3,74148,1889.73,1.12,9,1,1
220,20240301,1547,192.51,0.0,0.4,99.36,29.68,77.49,0.0,5,369022,12016.47,0.96,6,1,1
221,20240301,1679,190.75,6.23,0.5,94.59,33.94,75.4,0.0,4,361943,11694.57,1.0,7,1,1
222,20240301,1460,169.48,0.0,2.1,86.0,19.93,87.05,0.0,3,125383,3487.84,0.98,1,0,0
223,20240301,1621,181.62,0.0,1.3,88.2,32.48,91.02,0.0,3,100981,2655.36,1.01,1,0,0
224,20240301,1661,197.99,0.0,0.6,90.29,46.97,75.25,0.0,4,447019,9766.17,1.16,1,0,1
225,20240301,1427,208.63,0.0,0.4,90.14,46.44,83.44,0.0,4,351681,9505.45,1.07,3,0,1
226,20240301,1347,164.68,0.0,2.8,83.5,13.37,88.67,1.2,3,86065,2080.31,0.95,7,0,0
227,20240301,1645,182.67,0.0,1.8,88.7,28.56,77.91,9.0,3,197156,4649.66,1.1,4,1,0
228,20240301,1391,220.0,0.0,0.5,95.51,34.75,87.37,0.0,5,353524,11146.3,0.95,4,1,1
229,20240301,1495,184.36,0.0,1.4,89.86,29.78,81.06,9.0,3,161451,3686.0,0.83,6,1,0
230,20240301,1580,152.1,0.0,2.5,84.47,20.42,85.37,0.42,3,100896,2299.44,0.97,10,1,1
231,20240301,1385,220.0,0.0,0.6,93.9,32.62,94.19,0.0,4,421626,13879.01,1.17,7,1,1
232,20240301,1544,160.36,0.0,2.6,89.94,17.77,86.49,0.0,3,134025,3395.54,0.97,10,0,0
233,20240301,1637,192.25,15.88,0.6,98.06,28.95,94.28,0.0,5,414205,11614.24,0.85,6,0,1
234,20240301,1738,154.67,0.0,3.7,77.62,8.73,75.65,5.9,2,71483,2213.76,1.13,1,1,0
235,20240301,1537,171.69,0.0,1.4,94.48,19.3,81.79,0.0,4,162152,4716.95,1.07,2,0,0
236,20240301,1640,172.17,0.0,1.9,91.77,22.31,93.01,0.0,4,132894,2899.99,0.92,2,1,1
237,20240301,1355,217.7,0.0,0.6,94.18,30.05,92.45,0.0,4,329900,10514.39,0.95,10,1,0
238,20240301,1390,156.34,0.0,2.4,82.03,10.38,78.52,11.38,3,71934,1883.43,1.06,2,1,1
239,20240301,1446,186.08,0.0,1.0,90.83,38.74,81.07,0.0,4,297389,7964.02,1.1,6,0,0
240,20240301,1586,172.77,0.0,1.5,86.95,22.54,83.28,0.0,3,95564,2132.61,0.84,3,0,0
